node_id,mean_probability,samples
3,0.5379739670559417,172
4,0.8921541106478076,428
6,0.7513352656299594,1103
7,0.8038512232691742,172
8,0.5655922709619698,1822
10,0.49021282969973984,800
12,0.7317014279181846,3738
13,0.5202816733287905,1497
14,0.5706757743195399,3557
15,0.8049100974562258,1349
16,0.5386473498208025,4772
17,0.663760826589111,2494
18,0.6450659616997367,988
19,0.6717698212303868,173
20,0.6502704439225548,1874
23,0.4069477218289335,476
27,0.6384014622953149,1957
29,0.7693267225366328,3774
33,0.6999093962064997,1331
35,0.703297266713631,324
36,0.7413099705885831,1557
38,0.47516175992225285,199
39,0.7864187048005231,346
40,0.6232987414203884,571
41,0.9351436936643702,169
42,0.6215583118163316,2095
43,0.5104028952999922,957
44,0.513357539197015,965
46,0.7502432680865216,681
47,0.4721563634536569,630
52,0.6955227160604714,3673
55,0.6503200067414178,378
56,0.577999901630405,549
57,0.28038359417560255,47
