node_id,concept_name,teaching_order,source_block,week_introduced,bloom_level
0,computer_model_python_runtime,1,Unit1,1,1
1,development_environment_execution,2,Unit1,1,1
2,code_syntax_statements,3,Unit2,1,1
3,string_literals_and_print,5,Unit2,1,1
4,primitive_values_and_types,6,Unit2,1,1
5,expressions_and_operator_precedence,7,Unit2,1,2
6,variables_assignment_and_naming,8,Unit2,1,2
7,basic_input_output,9,Unit2,1,2
8,type_conversion,10,Unit2,1,2
9,program_structure_comments_style,11,Unit2,1,2
10,advanced_operators_and_string_ops,12,Unit2,1,2
11,builtin_function_calls,4,Unit2,1,2
12,boolean_values_and_comparisons,13,Unit3,2,2
13,if_else_conditional_blocks,14,Unit3,2,3
14,elif_and_nested_conditionals,15,Unit3,3,3
15,boolean_logic_and_short_circuit,16,Unit3,3,3
16,guardian_pattern_and_demorgan,17,Unit3,3,4
17,while_loop_basics,18,Unit4,4,3
18,loop_update_iteration_variables,19,Unit4,4,3
19,break_continue_loop_control,20,Unit4,4,3
20,definite_indefinite_loops,21,Unit4,4,3
21,formatted_output_tsv,22,Unit4,4,2
22,spreadsheet_plotting_output,23,Unit4,4,2
23,robust_input_loop_patterns,24,Unit4,4,3
24,accumulation_count_sum_patterns,25,Unit4,4,3
25,min_max_none_sentinel_patterns,26,Unit4,4,4
26,random_module_import,27,ShortTopic1,4,2
27,random_number_generation_functions,28,ShortTopic1,4,2
28,randomized_game_programs,29,ShortTopic1,4,3
29,error_categories_syntax_runtime_semantic,30,ShortTopic2,4,2
30,traceback_interpretation,31,ShortTopic2,4,3
31,semantic_error_reasoning,32,ShortTopic2,4,4
32,for_loop_basics,33,ShortTopic3,4,3
33,range_function_and_counted_iteration,34,ShortTopic3,4,3
34,sequence_iteration_with_for,35,ShortTopic3,4,3
35,for_loop_accumulation_patterns,36,ShortTopic3,4,3
36,nested_for_loops,37,ShortTopic3,4,4
37,try_except_exception_handling,38,ShortTopic4,4,3
38,robust_input_with_try_except,39,ShortTopic4,4,4
39,exception_handling_runtime_failure_cases,40,ShortTopic4,4,4
40,strings_indexing_slicing,41,Unit5,5,2
41,string_immutability_comparison_in,42,Unit5,5,3
42,string_methods_parsing_validation,43,Unit5,5,3
43,file_handles_write_close,44,Unit5,5,3
44,file_reading_line_iteration,45,Unit5,5,3
45,csv_tsv_data_processing,46,Unit5,5,4
46,lists_basics_indexing_mutability,47,Unit6,6,2
47,list_methods_append_pop_sort,48,Unit6,6,3
48,sequence_polymorphism_common_ops,49,Unit6,6,3
49,statistics_with_lists_median,50,Unit6,6,4
50,nested_lists_multidimensional,51,Unit6,6,4
51,functions_definition_call_flow,52,Unit7,7,3
52,parameters_return_values_side_effects,53,Unit7,7,3
53,scope_main_and_decomposition,54,Unit7,7,4
54,modules_import_validation,55,Unit7,7,4
55,dictionaries_basics_key_value_lookup,56,Unit8,8,2
56,dictionary_iteration_query_patterns,57,Unit8,8,3
57,dictionaries_counting_join_filter,58,Unit8,8,4
58,tuples_tuple_assignment,59,Unit8,8,3
59,nested_data_structures_integration,60,Unit8,8,4
60,data_processing_project_decomposition,61,Unit8,8,5
