src,dst
0,1
1,2
2,3
2,5
2,6
2,9
2,11
2,26
2,29
2,51
3,7
3,21
3,40
3,43
4,5
4,8
4,10
4,12
4,40
4,55
5,6
5,10
5,12
5,21
5,31
6,7
6,17
6,24
6,51
6,52
6,55
7,8
7,23
8,10
8,28
8,38
10,12
11,7
11,8
11,26
11,33
11,42
11,43
11,47
11,52
12,13
12,15
12,41
13,14
13,17
13,23
13,28
13,37
13,51
13,56
14,16
14,28
15,16
15,17
15,19
15,23
15,36
16,23
16,25
17,18
17,19
17,20
17,23
17,24
17,32
17,44
18,20
19,20
19,23
19,38
19,56
20,23
21,22
21,45
23,38
24,25
24,35
24,49
26,27
26,54
27,28
29,30
29,31
29,37
32,33
32,34
32,35
32,36
32,44
32,56
35,49
37,38
37,39
38,60
39,43
40,41
40,42
40,44
40,46
40,48
41,42
42,45
42,57
43,44
44,45
44,57
45,60
46,47
46,48
46,50
46,55
46,58
47,48
47,49
50,59
51,52
52,53
52,57
52,58
52,59
53,54
53,60
55,56
55,59
56,57
57,60
58,59
59,60
