teaching_order,node_id,concept_name,source_block
1,0,computer_model_python_runtime,Unit1
2,1,development_environment_execution,Unit1
3,2,code_syntax_statements,Unit2
4,11,builtin_function_calls,Unit2
5,3,string_literals_and_print,Unit2
6,4,primitive_values_and_types,Unit2
7,5,expressions_and_operator_precedence,Unit2
8,6,variables_assignment_and_naming,Unit2
9,7,basic_input_output,Unit2
10,8,type_conversion,Unit2
11,9,program_structure_comments_style,Unit2
12,10,advanced_operators_and_string_ops,Unit2
13,12,boolean_values_and_comparisons,Unit3
14,13,if_else_conditional_blocks,Unit3
15,14,elif_and_nested_conditionals,Unit3
16,15,boolean_logic_and_short_circuit,Unit3
17,16,guardian_pattern_and_demorgan,Unit3
18,17,while_loop_basics,Unit4
19,18,loop_update_iteration_variables,Unit4
20,19,break_continue_loop_control,Unit4
21,20,definite_indefinite_loops,Unit4
22,21,formatted_output_tsv,Unit4
23,22,spreadsheet_plotting_output,Unit4
24,23,robust_input_loop_patterns,Unit4
25,24,accumulation_count_sum_patterns,Unit4
26,25,min_max_none_sentinel_patterns,Unit4
27,26,random_module_import,ShortTopic1
28,27,random_number_generation_functions,ShortTopic1
29,28,randomized_game_programs,ShortTopic1
30,29,error_categories_syntax_runtime_semantic,ShortTopic2
31,30,traceback_interpretation,ShortTopic2
32,31,semantic_error_reasoning,ShortTopic2
33,32,for_loop_basics,ShortTopic3
34,33,range_function_and_counted_iteration,ShortTopic3
35,34,sequence_iteration_with_for,ShortTopic3
36,35,for_loop_accumulation_patterns,ShortTopic3
37,36,nested_for_loops,ShortTopic3
38,37,try_except_exception_handling,ShortTopic4
39,38,robust_input_with_try_except,ShortTopic4
40,39,exception_handling_runtime_failure_cases,ShortTopic4
41,40,strings_indexing_slicing,Unit5
42,41,string_immutability_comparison_in,Unit5
43,42,string_methods_parsing_validation,Unit5
44,43,file_handles_write_close,Unit5
45,44,file_reading_line_iteration,Unit5
46,45,csv_tsv_data_processing,Unit5
47,46,lists_basics_indexing_mutability,Unit6
48,47,list_methods_append_pop_sort,Unit6
49,48,sequence_polymorphism_common_ops,Unit6
50,49,statistics_with_lists_median,Unit6
51,50,nested_lists_multidimensional,Unit6
52,51,functions_definition_call_flow,Unit7
53,52,parameters_return_values_side_effects,Unit7
54,53,scope_main_and_decomposition,Unit7
55,54,modules_import_validation,Unit7
56,55,dictionaries_basics_key_value_lookup,Unit8
57,56,dictionary_iteration_query_patterns,Unit8
58,57,dictionaries_counting_join_filter,Unit8
59,58,tuples_tuple_assignment,Unit8
60,59,nested_data_structures_integration,Unit8
61,60,data_processing_project_decomposition,Unit8
