item_id,completed_submissions,students,valid_repeat_intervals,mean_minutes,median_minutes,p75_minutes
9609158,2706,240,2312,0.9134371395617071,0.11666666666666667,0.26666666666666666
9603770,2089,218,1751,0.8567961165048543,0.23333333333333334,0.55
9603772,1789,245,1325,1.9425283018867925,0.6833333333333333,1.2833333333333334
9609149,1631,239,1251,1.061550759392486,0.1,0.18333333333333332
9603771,1506,248,1034,1.2975016118633138,0.25,0.6166666666666667
9596876,1443,268,926,1.5385169186465084,0.4166666666666667,0.8
9603775,1202,240,794,1.6324307304785894,0.55,1.0416666666666667
9603773,1218,247,769,1.4016254876462937,0.21666666666666667,0.43333333333333335
9603584,1051,206,724,2.768024861878453,1.0833333333333333,2.066666666666667
9612389,931,244,511,3.045270711024136,0.16666666666666666,0.4083333333333333
9609156,843,235,494,3.571255060728745,0.9166666666666666,2.1791666666666663
9596875,997,268,478,3.6207461645746166,1.0666666666666667,2.7125000000000004
9609151,847,240,473,2.551832276250881,0.5833333333333334,1.05
9622024,739,213,439,3.1844722854973426,0.8,1.425
9609150,824,241,436,3.4242354740061165,0.9666666666666667,1.6708333333333334
9622020,730,213,430,3.861666666666667,1.0083333333333333,2.0583333333333336
9609148,784,232,427,4.712763466042154,1.95,3.6916666666666664
9603611,820,232,419,2.7462211614956247,0.8,1.5666666666666667
9609157,774,240,391,3.3578005115089518,0.18333333333333332,0.9166666666666667
9612387,824,250,389,5.383804627249358,0.26666666666666666,1.6833333333333333
9603774,817,246,380,1.5628947368421051,0.2,0.35
9612384,702,227,376,4.263519503546099,1.7583333333333333,3.5166666666666666
9609154,753,240,376,3.8245567375886522,0.48333333333333334,1.5041666666666667
9622028,725,233,375,4.693377777777778,1.5333333333333334,3.7249999999999996
9596877,819,256,374,3.774376114081997,1.0166666666666666,2.8291666666666666
9612388,788,247,355,5.560657276995305,0.21666666666666667,1.2916666666666665
9603581,678,221,343,3.562779397473275,1.0666666666666667,1.925
9603585,683,220,341,2.1812805474095796,0.3,0.6
9622032,657,226,337,3.8591988130563797,0.65,1.35
9622031,660,227,335,3.5866666666666664,0.38333333333333336,0.7416666666666667
9633573,719,246,335,3.464626865671642,0.23333333333333334,0.8166666666666667
9603583,616,208,310,3.913440860215054,1.55,3.0
9612382,734,253,304,4.184375,0.6666666666666666,1.5958333333333332
9612386,685,246,300,5.942277777777778,1.0666666666666667,2.3708333333333336
9622019,611,222,300,4.305222222222222,0.7833333333333333,1.5833333333333333
9612383,645,235,282,3.0264775413711584,0.55,0.95
9612391,658,240,276,4.910024154589372,0.8416666666666667,3.6708333333333334
9612390,640,239,269,5.747087980173482,0.9166666666666666,3.45
9609152,626,237,266,3.034586466165414,0.4666666666666667,1.0041666666666667
9622018,646,243,262,4.590267175572519,0.6416666666666666,1.6875
9622025,630,240,258,3.6421834625322997,0.675,1.1666666666666667
9603769,636,231,252,4.569179894179895,1.9,3.0041666666666664
9622021,551,216,249,3.906894243641232,0.5166666666666667,1.2
9609153,594,234,247,4.293522267206478,1.0,2.083333333333333
9609155,609,235,246,4.356436314363144,0.4166666666666667,1.3125
9633570,590,240,243,4.356104252400549,0.3333333333333333,1.4333333333333333
9612392,594,235,242,3.666666666666667,0.38333333333333336,1.3
9603580,714,253,237,2.6093530239099856,0.16666666666666666,0.45
9622023,532,215,236,4.553813559322034,0.4916666666666667,1.0041666666666667
9603582,560,215,236,3.814901129943503,1.3333333333333335,2.05
9596872,751,270,234,2.6450854700854705,0.45,1.0958333333333334
9622030,557,228,227,4.9384728340675474,0.65,1.425
9633571,562,238,225,4.598740740740741,0.31666666666666665,1.2333333333333334
9622029,546,230,220,5.962651515151515,0.925,2.341666666666667
9633576,594,247,217,5.5321044546851,0.15,1.6666666666666667
9603593,695,250,216,2.598611111111111,0.16666666666666666,0.4083333333333333
9612385,626,252,215,5.536821705426357,0.2833333333333333,1.1166666666666667
9633579,560,245,199,5.1257118927973195,0.2833333333333333,0.8166666666666667
9633568,566,247,190,6.001315789473685,0.7666666666666667,2.7416666666666667
9622022,487,218,186,4.732258064516129,0.45,0.7958333333333334
9596870,700,271,185,3.255945945945946,0.31666666666666665,1.2
9633575,531,244,170,5.8100000000000005,0.48333333333333334,1.0666666666666667
9633577,540,246,167,6.66626746506986,0.3,2.3
9633574,535,245,165,5.740606060606061,0.21666666666666667,0.8333333333333334
9633578,534,247,163,6.81922290388548,0.18333333333333332,2.716666666666667
9622026,526,242,163,3.8803680981595092,0.5333333333333333,1.0333333333333334
9603592,633,251,163,2.5942740286298567,0.15,0.29166666666666663
9633569,501,238,161,6.708592132505175,0.7833333333333333,4.233333333333333
9596871,669,271,148,2.9900900900900904,0.175,1.15
9633572,459,231,142,6.800117370892019,1.0166666666666666,6.2
9633580,495,245,129,6.322351421188631,0.18333333333333332,1.05
9622027,465,242,114,5.251023391812866,0.6833333333333333,1.4458333333333333
9596878,314,171,51,4.581045751633987,0.7333333333333333,4.375
9597466,274,274,0,,,
9597471,272,272,0,,,
9597473,271,271,0,,,
9597474,273,273,0,,,
9597491,271,271,0,,,
9597492,271,271,0,,,
9597494,271,271,0,,,
9597496,70,70,0,,,
9598973,267,267,0,,,
9598974,267,267,0,,,
9598976,267,267,0,,,
9599002,267,267,0,,,
9599014,267,267,0,,,
9604637,267,267,0,,,
9604638,267,267,0,,,
9604642,266,266,0,,,
9610278,269,269,0,,,
9610279,268,268,0,,,
9610280,268,268,0,,,
9610281,269,269,0,,,
9610282,269,269,0,,,
9610283,269,269,0,,,
9610284,269,269,0,,,
9610285,269,269,0,,,
9614971,264,264,0,,,
9614972,264,264,0,,,
9614973,264,264,0,,,
9614974,264,264,0,,,
9614975,264,264,0,,,
9614976,264,264,0,,,
9614977,264,264,0,,,
9614978,264,264,0,,,
9619578,241,241,0,,,
9619579,241,241,0,,,
9619580,241,241,0,,,
9619581,241,241,0,,,
9619582,238,238,0,,,
9619583,235,235,0,,,
9624427,267,267,0,,,
9624428,267,267,0,,,
9624429,267,267,0,,,
9624430,265,265,0,,,
9624431,267,267,0,,,
9624432,266,266,0,,,
9624433,263,263,0,,,
9635284,268,268,0,,,
9635285,264,264,0,,,
9635286,268,268,0,,,
9635287,268,268,0,,,
9635288,259,259,0,,,
9635289,263,263,0,,,
9635290,256,256,0,,,
9637165,71,71,0,,,
9637166,67,67,0,,,
9637167,72,72,0,,,
9637168,70,70,0,,,
9637169,72,72,0,,,
9637170,71,71,0,,,
9637171,66,66,0,,,
9637172,69,69,0,,,
9637173,69,69,0,,,
9637174,68,68,0,,,
9643502,75,75,0,,,
9643503,77,77,0,,,
9643504,77,77,0,,,
9643505,73,73,0,,,
9643506,77,77,0,,,
9643507,76,76,0,,,
9643508,75,75,0,,,
9643509,71,71,0,,,
9643536,73,73,0,,,
