item_id,assessment_title,question_label,concept_id
9596870,Practice Quiz 1,,
9596871,Practice Quiz 1,,
9596872,Practice Quiz 1,,
9596875,Practice Quiz 1,,
9596876,Practice Quiz 1,,
9596877,Practice Quiz 1,,
9596878,Practice Quiz 1,,
9603580,Practice Quiz 2,,
9603581,Practice Quiz 2,,
9603582,Practice Quiz 2,,
9603583,Practice Quiz 2,,
9603584,Practice Quiz 2,,
9603585,Practice Quiz 2,,
9603592,Practice Quiz 2,,
9603593,Practice Quiz 2,,
9603611,Practice Quiz 2,,
9603769,Practice Quiz 2,,
9603770,Practice Quiz 2,,
9603771,Practice Quiz 2,,
9603772,Practice Quiz 2,,
9603773,Practice Quiz 2,,
9603774,Practice Quiz 2,,
9603775,Practice Quiz 2,,
9609148,Practice Quiz 3,,
9609149,Practice Quiz 3,,
9609150,Practice Quiz 3,,
9609151,Practice Quiz 3,,
9609152,Practice Quiz 3,,
9609153,Practice Quiz 3,,
9609154,Practice Quiz 3,,
9609155,Practice Quiz 3,,
9609156,Practice Quiz 3,,
9609157,Practice Quiz 3,,
9609158,Practice Quiz 3,,
9612382,Practice Quiz 4,,
9612383,Practice Quiz 4,,
9612384,Practice Quiz 4,,
9612385,Practice Quiz 4,,
9612386,Practice Quiz 4,,
9612387,Practice Quiz 4,,
9612388,Practice Quiz 4,,
9612389,Practice Quiz 4,,
9612390,Practice Quiz 4,,
9612391,Practice Quiz 4,,
9612392,Practice Quiz 4,,
9622018,Practice Quiz 5,,
9622019,Practice Quiz 5,,
9622020,Practice Quiz 5,,
9622021,Practice Quiz 5,,
9622022,Practice Quiz 5,,
9622023,Practice Quiz 5,,
9622024,Practice Quiz 5,,
9622025,Practice Quiz 5,,
9622026,Practice Quiz 5,,
9622027,Practice Quiz 5,,
9622028,Practice Quiz 5,,
9622029,Practice Quiz 5,,
9622030,Practice Quiz 5,,
9622031,Practice Quiz 5,,
9622032,Practice Quiz 5,,
9633568,Practice Quiz 6,,
9633569,Practice Quiz 6,,
9633570,Practice Quiz 6,,
9633571,Practice Quiz 6,,
9633572,Practice Quiz 6,,
9633573,Practice Quiz 6,,
9633574,Practice Quiz 6,,
9633575,Practice Quiz 6,,
9633576,Practice Quiz 6,,
9633577,Practice Quiz 6,,
9633578,Practice Quiz 6,,
9633579,Practice Quiz 6,,
9633580,Practice Quiz 6,,
9597466,Quiz 1,,
9597471,Quiz 1,,
9597473,Quiz 1,,
9597474,Quiz 1,,
9597491,Quiz 1,,
9597492,Quiz 1,,
9597494,Quiz 1,,
9598973,Quiz 2,,
9598974,Quiz 2,,
9598976,Quiz 2,,
9599002,Quiz 2,,
9599014,Quiz 2,,
9604637,Quiz 2,,
9604638,Quiz 2,,
9604642,Quiz 2,,
9610278,Quiz 3,,
9610279,Quiz 3,,
9610280,Quiz 3,,
9610281,Quiz 3,,
9610282,Quiz 3,,
9610283,Quiz 3,,
9610284,Quiz 3,,
9610285,Quiz 3,,
9614971,Quiz 4,,
9614972,Quiz 4,,
9614973,Quiz 4,,
9614974,Quiz 4,,
9614975,Quiz 4,,
9614976,Quiz 4,,
9614977,Quiz 4,,
9614978,Quiz 4,,
9624427,Quiz 5,,
9624428,Quiz 5,,
9624429,Quiz 5,,
9624430,Quiz 5,,
9624431,Quiz 5,,
9624432,Quiz 5,,
9624433,Quiz 5,,
9635284,Quiz 6,,
9635285,Quiz 6,,
9635286,Quiz 6,,
9635287,Quiz 6,,
9635288,Quiz 6,,
9635289,Quiz 6,,
9635290,Quiz 6,,
9619578,Review Quiz 1,,
9619579,Review Quiz 1,,
9619580,Review Quiz 1,,
9619581,Review Quiz 1,,
9619582,Review Quiz 1,,
9619583,Review Quiz 1,,
9597496,Review Quiz 2 (Final taken on June 3),,
9637165,Review Quiz 2 (Final taken on June 3),,
9637166,Review Quiz 2 (Final taken on June 3),,
9637167,Review Quiz 2 (Final taken on June 3),,
9637168,Review Quiz 2 (Final taken on June 3),,
9637169,Review Quiz 2 (Final taken on June 3),,
9637170,Review Quiz 2 (Final taken on June 3),,
9637171,Review Quiz 2 (Final taken on June 3),,
9637172,Review Quiz 2 (Final taken on June 3),,
9637173,Review Quiz 2 (Final taken on June 3),,
9637174,Review Quiz 2 (Final taken on June 3),,
9643502,Review Quiz 3 (Final taken on June 11),,
9643503,Review Quiz 3 (Final taken on June 11),,
9643504,Review Quiz 3 (Final taken on June 11),,
9643505,Review Quiz 3 (Final taken on June 11),,
9643506,Review Quiz 3 (Final taken on June 11),,
9643507,Review Quiz 3 (Final taken on June 11),,
9643508,Review Quiz 3 (Final taken on June 11),,
9643509,Review Quiz 3 (Final taken on June 11),,
9643536,Review Quiz 3 (Final taken on June 11),,
