target,group,closure_size,edges_reduced,width,ideal_count
absolute_value_add_sub_properties,T-sink,58,64,8,82892
absolute_value_equations,T-sink,123,143,13,>1e+07
absolute_value_of_complex_numbers,T-sink,141,167,15,>1e+07
adding_and_subtracting_centimeter_and_millimeter,T-sink,50,55,8,38186
adding_and_subtracting_decimals_word_problems,T-sink,48,54,8,82882
adding_decimals_0.5_new,T-sink,1,0,1,2
adding_decimals_1,T-sink,1,0,1,2
adding_decimals_2_new,T-sink,1,0,1,2
adding_subtracting_carry_2,T-sink,9,8,2,15
adding_subtracting_mixed_numbers_1,T-sink,102,120,11,2007044
addition_3,T-sink,29,32,6,3174
addition_of_vary_denominator_fraction,T-sink,101,118,11,2007039
addition_two_numbers,T-sink,7,6,2,14
age_problems,T-sink,117,135,13,>1e+07
age_problems_new,T-sink,117,135,13,>1e+07
altitude_and_hypotenuse,T-sink,1,0,1,2
angle types,T-sink,1,0,1,2
angle-types,T-sink,1,0,1,2
angle_bisector_theorem,T-sink,94,109,9,193238
angle_of_osculation,T-sink,7,6,1,8
angles_of_a_polygon,T-sink,95,110,9,193239
application_division_large_nums,T-sink,57,64,10,497470
application_of_linear_equations_2,T-sink,1,0,1,2
application_of_scientific_notation_2,T-sink,77,86,8,96594
arc_length_and_circular_sector_area,T-sink,5,4,1,6
area_of_a_circle2,T-sink,79,89,9,193210
areas_of_trapezoids_rhombi_and_kites,T-sink,1,0,1,2
arithmetic_means,T-sink,106,124,12,6031814
arithmetic_reasoning,T-sink,74,84,8,96602
arithmetic_series,T-sink,107,125,12,6031815
attributs_of_shapes,T-sink,5,4,1,6
baseline_compareline_application,T-sink,102,118,12,4014074
basic_concept_of_similar_shapes,T-sink,125,161,11,1936316
basic_concepts_of_probability_2,T-sink,105,123,11,2010607
calculating_averages_advanced,T-sink,77,87,8,96605
cc_and_cubic_meter_conversion,T-sink,1,0,1,2
cell_bctest_cap,T-sink,1,0,1,2
chain_rule_1,T-sink,212,272,18,>1e+07
chickens_and_rabbits_questions,T-sink,74,84,8,96602
classification_bctest_cap,T-sink,1,0,1,2
combinations_of_polynomials,T-sink,137,162,14,>1e+07
common_factor_advance,T-sink,139,164,13,>1e+07
common_factors_of_a_polynomial_1,T-sink,1,0,1,2
common_factors_of_a_polynomial_2,T-sink,1,0,1,2
comparing_absolute_values,T-sink,55,61,8,82889
comparing_objects,T-sink,1,0,1,2
comparing_size,T-sink,2,1,1,3
compound_inequalities,T-sink,126,146,13,>1e+07
compound_numbers_world_problems,T-sink,1,0,1,2
concepts_related_to_parallelogram,T-sink,96,111,9,193240
cone_surface_arc,T-sink,97,112,9,193241
consistency_bctest_cap,T-sink,1,0,1,2
constructing_and_interpreting_absolute_value,T-sink,56,62,8,82890
converting_repeating_decimals_to_fractions_2,T-sink,125,145,13,>1e+07
coordination_bctest_cap,T-sink,1,0,1,2
creating_bar_charts_1,T-sink,40,43,7,9539
cube_rectangular_and_regular_tetrahedron,T-sink,1,0,1,2
cube_roots,T-sink,71,79,8,96587
cube_volume_calculation,T-sink,1,0,1,2
cuboid_volume_calculation,T-sink,1,0,1,2
date_and_weekday,T-sink,7,6,2,14
decimal_multiplier_calculation,T-sink,42,47,7,12728
decimal_two_steps,T-sink,53,59,7,13109
decimals_distributive_law_of_multiplication,T-sink,104,123,12,2143890
define_one_function,T-sink,124,144,13,>1e+07
dependent_probability,T-sink,105,123,11,2010607
difference_between_solid_and_plane_graphics,T-sink,1,0,1,2
discount_tax_and_tip_word_problems,T-sink,107,127,13,4287783
distance_between_point_and_line,T-sink,138,164,13,>1e+07
distributive_property_with_variables,T-sink,1,0,1,2
dividing_complex_numbers,T-sink,142,169,13,>1e+07
dividing_decimals,T-sink,47,52,6,3215
dividing_fractions_word_problems,T-sink,100,116,11,2007037
dividing_polynomials_4,T-sink,143,169,13,>1e+07
dividing_polynomials_6,T-sink,143,169,13,>1e+07
divisibility,T-sink,41,47,6,3188
division_1.4,T-sink,34,38,6,3180
division_2.9,T-sink,35,38,6,3180
division_word_problems_2,T-sink,42,47,6,3219
draw_a_pie_chart,T-sink,84,95,9,325191
ecology_bctest_cap,T-sink,1,0,1,2
empirical_rule,T-sink,80,91,8,96609
environment_bctest_cap,T-sink,1,0,1,2
equation_of_a_circle_2,T-sink,138,163,13,>1e+07
equation_of_a_hyperbola,T-sink,138,163,13,>1e+07
equation_of_an_ellipse,T-sink,138,163,13,>1e+07
estimation_with_decimals,T-sink,48,53,8,38184
eval_expressions_w_two_var,T-sink,124,143,13,>1e+07
even_and_odd_functions,T-sink,126,146,13,>1e+07
evolution_bctest_cap,T-sink,1,0,1,2
exponents_4,T-sink,72,80,8,96588
expressions_with_unknown_variables_2,T-sink,125,145,13,>1e+07
factor_word_problems,T-sink,50,58,7,6531
factoring_difference_of_squares_4,T-sink,1,0,1,2
factoring_polynomials_3,T-sink,1,0,1,2
factoring_polynomials_by_grouping_1,T-sink,141,167,13,>1e+07
factoring_polynomials_with_two_variables,T-sink,141,167,13,>1e+07
factorization_by_add_sub_square,T-sink,142,168,13,>1e+07
finding_axis_of_symmetry,T-sink,125,161,11,1936316
fraction_and_per_swap_divide,T-sink,1,0,1,2
fraction_integer,T-sink,1,0,1,2
fractions_and_percentage_of_exchange,T-sink,1,0,1,2
fractions_cut_and_copy,T-sink,1,0,1,2
fractions_cut_and_copy_2,T-sink,102,119,11,2007040
fractions_on_the_number_line_1,T-sink,79,89,9,386407
fractions_on_the_number_line_3,T-sink,99,115,11,2007036
g_and_kg_word_problems,T-sink,1,0,1,2
gcd_and_lcm_word_problems,T-sink,51,60,7,6539
gcd_of_life,T-sink,50,58,7,6531
geometric_construction,T-sink,82,93,9,193215
geometry_1,T-sink,1,0,1,2
geometry_about_circle_concept,T-sink,2,1,1,3
geometry_categorial_proposition,T-sink,95,110,9,193239
geometry_proofs_intro,T-sink,125,161,13,>1e+07
graphing_parabolas_2,T-sink,151,180,13,>1e+07
graphing_points_fraction_2,T-sink,122,142,13,>1e+07
graphing_scaling,T-sink,125,161,11,1936316
graphing_systems_of_inequalities_2,T-sink,140,166,13,>1e+07
herons_formula,T-sink,98,113,10,386480
inequality_properties,T-sink,127,148,13,>1e+07
inequality_symbol_word_problems,T-sink,128,149,13,>1e+07
inheritance_bctest_cap,T-sink,1,0,1,2
integer_arithmetic,T-sink,76,87,8,96611
interpreting_negative_numbers,T-sink,50,56,8,82884
inverses_of_functions,T-sink,129,152,13,>1e+07
kg_g_time_div,T-sink,51,56,8,38187
kinematic_equations,T-sink,148,176,13,>1e+07
km_m_unit_transform,T-sink,49,54,8,38185
l_ml_arithmatic,T-sink,48,53,8,38184
lcm_word_problems,T-sink,44,50,7,6377
least_common_multiple_and_greatest_common_divisor_word_problems,T-sink,45,51,7,6378
lhopitals_rule,T-sink,212,272,18,>1e+07
life_1,T-sink,1,0,1,2
linear_equations_word_problems_2,T-sink,124,144,13,>1e+07
lines_plane_vertical_parallel,T-sink,82,93,9,193215
logarithms_2,T-sink,73,81,8,96589
make_a_line_by_ruler_and_compasses,T-sink,88,100,10,966074
markup_and_commission_word_problems,T-sink,107,127,13,4287783
matrix_app_fruit_oil,T-sink,144,170,13,>1e+07
matrix_basic_distance,T-sink,125,145,13,>1e+07
matrix_gaussian_elimination,T-sink,128,148,13,>1e+07
matrix_mul_two,T-sink,143,169,13,>1e+07
matrix_mul_two_2,T-sink,1,0,1,2
matrix_mul_zero_one,T-sink,143,169,13,>1e+07
matrix_submatrix,T-sink,143,169,13,>1e+07
matrix_triangular_and_symmetric,T-sink,127,147,13,>1e+07
measuring_and_comparing_angles,T-sink,82,93,9,193215
meters_and_centimeters,T-sink,47,52,8,38183
meters_and_centimeters_conversion,T-sink,1,0,1,2
metric_weight_unit_selection,T-sink,48,53,8,38184
metric_weight_unit_word_problem,T-sink,48,53,8,38184
midpoint_formula,T-sink,5,4,1,6
midpoint_of_a_segment,T-sink,87,99,10,966073
morning_afternoon_night,T-sink,7,6,2,14
moving_points,T-sink,123,143,13,>1e+07
multiple_brackets,T-sink,82,90,9,289776
multiple_proportions_reasoning,T-sink,4,3,1,5
multiple_unit_transate,T-sink,49,54,8,38185
multiplication_and_division_order,T-sink,42,46,6,3197
multiplication_association_word_problems,T-sink,69,77,8,96585
multiplication_formula_minus,T-sink,138,163,13,>1e+07
multiplication_formula_sub,T-sink,140,165,13,>1e+07
multiplication_word_problems,T-sink,39,42,6,3184
multiplicative_problems,T-sink,84,94,9,386412
multiplying_and_dividing_scientific_notation,T-sink,75,84,8,96592
multiplying_decimal_integer,T-sink,42,47,7,12728
multiplying_fractions_and_whole_numbers_word_problems,T-sink,1,0,1,2
multiplying_fractions_by_integers,T-sink,57,63,8,82891
multiplying_fractions_word_problems,T-sink,99,115,11,2007036
multiplying_mixed_numbers_1,T-sink,100,117,11,2007039
nature_of_isosceles_triangle,T-sink,96,111,9,193240
negative_number_word_problems,T-sink,55,62,8,82893
negative_numbers_multiply_divide,T-sink,55,61,8,82889
new_definitions_2,T-sink,124,144,13,>1e+07
number_sense_length_l3,T-sink,3,2,1,4
number_sense_weight_L1,T-sink,1,0,1,2
number_sense_weight_l3,T-sink,3,2,1,4
nutrition_bctest_cap,T-sink,1,0,1,2
one_more_one_less,T-sink,30,34,6,4761
one_step_equation_problems,T-sink,117,135,13,>1e+07
one_step_equations_0.5,T-sink,1,0,1,2
order_by_length,T-sink,1,0,1,2
ordering_decimals_new,T-sink,44,49,8,38180
ordering_improper_fractions_and_mixed_numbers,T-sink,99,115,11,2007036
ordering_numbers,T-sink,100,116,11,2007037
ordering_objects,T-sink,1,0,1,2
parabola_intuition_3,T-sink,150,178,13,>1e+07
parallelogram_concept_and_application,T-sink,97,112,9,193241
percentage_concept,T-sink,78,88,8,96606
percentage_word_problems_2,T-sink,108,128,13,4287784
perimeter_deduction,T-sink,80,91,11,966019
perimeter_of_sector,T-sink,4,3,1,5
permutations_1,T-sink,103,121,11,2010605
place_value_big_number,T-sink,45,50,8,38181
planting_problems,T-sink,104,122,11,2010606
plotting_the_line_of_best_fit,T-sink,41,44,7,9540
plugging_in_values,T-sink,128,150,13,>1e+07
polygon_geometry_characteristic,T-sink,123,158,11,1936313
polygon_similarity,T-sink,128,164,11,1936319
position_relation_between_circle_point,T-sink,2,1,1,3
product_rule,T-sink,212,272,18,>1e+07
proportional_life_problems,T-sink,3,2,1,4
proportional_or_inverse_proportional,T-sink,126,147,13,>1e+07
pythagorean_theorem_2,T-sink,129,166,12,5808947
quadratic_function_word_problem,T-sink,127,147,13,>1e+07
quadratics_word_problems,T-sink,144,170,13,>1e+07
quotient_rule,T-sink,212,272,18,>1e+07
radical_equations,T-sink,78,86,9,289772
radius_angle_by_percentage,T-sink,1,0,1,2
radius_diameter_and_circumference,T-sink,79,89,9,193207
radius_diameter_and_circumference_1,T-sink,80,91,10,386415
rate_unit_transform,T-sink,106,122,11,2007043
rates_and_ratios,T-sink,3,2,1,4
ratio_discount,T-sink,3,2,1,4
reading_fractions_in_chinese,T-sink,74,84,8,96602
reading_pictographs_2,T-sink,38,41,7,9537
reading_stem_and_leaf_plots,T-sink,38,41,7,9537
recognizing_fractions,T-sink,79,89,9,386407
recording_life _problem_by_expressions,T-sink,1,0,1,2
recording_life_problem_by_expressions,T-sink,124,144,13,>1e+07
relationships_linear_equations,T-sink,127,149,13,>1e+07
reproduction,T-sink,1,0,1,2
reproduction_bctest_cap,T-sink,1,0,1,2
scale_see_compare_see,T-sink,1,0,1,2
scaling_vectors,T-sink,122,142,13,>1e+07
seq-arithmetic-sequences-l2,T-sink,6,5,1,7
seq-understaning-arithmetic-sequence,T-sink,1,0,1,2
seq-understaning-arithmetic-sequence-1,T-sink,1,0,1,2
seq-understaning-arithmetic-sequence-2,T-sink,1,0,1,2
seq_sequence_exam_3,T-sink,5,4,1,6
seq_sequence_pattern_2,T-sink,4,3,1,5
sequences_word_problems,T-sink,107,125,12,6031815
shifting_and_reflecting_functions,T-sink,130,154,13,>1e+07
short_divide_gcf_and_lcm,T-sink,1,0,1,2
side_length_cube_and_relationship_with_volume_cuboid,T-sink,1,0,1,2
significant_figures_1,T-sink,75,84,8,96592
similar_triangles_review,T-sink,126,162,11,1936317
simple_calculation_of_composite_volume,T-sink,1,0,1,2
simple_hologram_surface_area,T-sink,105,124,9,193358
simplify_expressions_w_two_var_2,T-sink,124,143,13,>1e+07
simplify_expressions_w_two_var_3,T-sink,124,143,13,>1e+07
simplifying_rational_expressions_1,T-sink,1,0,1,2
simplifying_rational_expressions_2,T-sink,1,0,1,2
skip_counting_by_100s,T-sink,17,18,3,80
solutions_to_systems_of_equations,T-sink,137,162,13,>1e+07
solving_for_a_variable,T-sink,124,144,13,>1e+07
solving_linear_equations,T-sink,123,143,13,>1e+07
solving_problems_with_line_plots_1,T-sink,2,1,1,3
special_right_triangles,T-sink,3,2,1,4
special_triangle_and_quadrilateral_concept,T-sink,97,112,9,193241
square_cm_square_m_unit_transform,T-sink,95,110,9,193239
square_root_calculation_3,T-sink,74,82,8,96590
subtraction_of_vary_denominator_fraction,T-sink,101,118,11,2007039
surface_area_of_rectangular_boxes,T-sink,77,87,8,96605
symmetry_concept_and_application,T-sink,126,162,11,1936317
systems_of_equ_substitution_2,T-sink,139,164,13,>1e+07
systems_of_equations_with_elimination_3,T-sink,141,166,13,>1e+07
systems_of_equations_word_problems,T-sink,141,167,13,>1e+07
tenfold_and_hundred_fold,T-sink,1,0,1,2
the_four_arithmetic_exponentially,T-sink,73,81,8,96589
the_fundamental_theorem_of_arithmetic,T-sink,41,47,6,3188
time_units_transformation_2,T-sink,51,56,7,37107
time_units_transformation_3,T-sink,51,56,7,37107
time_word_problem_3,T-sink,36,40,7,25394
transportation_bctest_cap,T-sink,1,0,1,2
trapezoid_concept_and_application,T-sink,97,112,9,193241
triangle_central_core_concept,T-sink,97,112,9,193241
triangle_length_of_side,T-sink,93,108,9,193237
triangles_congruent_nature_aas,T-sink,120,155,11,1936310
triangles_congruent_nature_asa,T-sink,120,155,11,1936310
triangles_congruent_nature_rhs,T-sink,120,155,11,1936310
triangles_congruent_nature_sas,T-sink,120,155,11,1936310
triangles_congruent_nature_sss,T-sink,120,155,11,1936310
understand_length_unit,T-sink,49,54,8,38185
understand_percentage,T-sink,1,0,1,2
unit_conversion_rate,T-sink,117,134,13,>1e+07
using_fractions_to_divide_pizzas_pies_and_cakes,T-sink,100,116,11,2007037
variables_word_problems_1,T-sink,119,137,13,>1e+07
variables_word_problems_2,T-sink,119,137,13,>1e+07
vector_add_sub_two,T-sink,143,169,13,>1e+07
vertical_and_parallel,T-sink,83,94,9,193216
vertical_angles_2,T-sink,89,104,9,193233
vertical_concepts,T-sink,82,93,9,193215
volume_box_cover,T-sink,79,90,8,96608
volume_box_nocover,T-sink,79,90,8,96608
volume_container,T-sink,79,90,8,96608
volume_container_hight,T-sink,79,90,8,96608
volume_of_cylinders,T-sink,96,111,9,193240
volume_of_rectangular_boxes_3,T-sink,98,113,9,193242
volume_of_triangular_prisms,T-sink,99,115,9,193249
volume_unit_conversion,T-sink,53,59,7,13109
z_scores_3,T-sink,82,93,8,96611
addition_1,T-vol,1,0,1,2
number_line,T-vol,1,0,1,2
representing_numbers,T-vol,9,9,2,24
telling_time_0.5,T-vol,1,0,1,2
subtraction_1,T-vol,2,1,1,3
multiplication_0.5,T-vol,29,32,6,3174
multiplication_1,T-vol,30,33,6,3175
subtraction_2,T-vol,3,2,1,4
telling_time,T-vol,2,1,1,3
arithmetic_word_problems_1,T-vol,31,35,6,6348
division_0.5,T-vol,31,34,6,3176
telling_time_2,T-vol,3,2,1,4
addition_2,T-vol,28,31,6,3173
number_line_2,T-vol,48,54,8,82882
count_one_by_one_1,T-vol,1,0,1,2
writing_fractions_1,T-vol,77,87,9,386405
multiplication_1.5,T-vol,33,36,6,3178
prime_numbers,T-vol,38,42,6,3184
divisibility_intuition,T-vol,35,38,6,3180
subtraction_3,T-vol,4,3,1,5
