target,m,m_total,delta_median,delta_max,J_star_proxy,mdelta_med_ratio,mdelta_max_ratio,coverage,obs_fraction
absolute_value_add_sub_properties,47,58,0.0729846605426357,0.43509677632858035,70.87549930267024,0.04839865791780943,0.2885277520249207,0.723404255319149,0.8103448275862069
absolute_value_equations,107,123,0.10379975507149064,0.4403701299978366,177.30639949044811,0.06264056923251568,0.26575241528327886,0.8411214953271028,0.8699186991869918
absolute_value_of_complex_numbers,123,141,0.10220784459752996,0.4633152173913043,218.00387348539476,0.057666704194310664,0.2614071522125883,0.8211382113821138,0.8723404255319149
adding_and_subtracting_centimeter_and_millimeter,39,50,0.07195106504253845,0.43509677632858035,57.75841294551845,0.048583252093610856,0.293788790436827,0.6923076923076923,0.78
adding_and_subtracting_decimals_word_problems,39,48,0.0729846605426357,0.43509677632858035,55.743918180509034,0.051062104245087704,0.30440584068501664,0.6666666666666666,0.8125
adding_decimals_0.5_new,0,1,,,0.0,,,0.0,0.0
adding_decimals_1,0,1,,,0.0,,,0.0,0.0
adding_decimals_2_new,0,1,,,0.0,,,0.0,0.0
adding_subtracting_carry_2,9,9,0.10661116329859266,0.38349910012314103,10.773632356938657,0.08906007165441994,0.3203647374216708,0.7777777777777778,1.0
adding_subtracting_mixed_numbers_1,86,102,0.09863432067416428,0.49291967800693337,134.63737015751576,0.0630029505779426,0.3148538348528483,0.8372093023255814,0.8431372549019608
addition_3,22,29,0.06560622774035718,0.43509677632858035,27.053683899084927,0.053350849210472145,0.35381980195135415,0.5454545454545454,0.7586206896551724
addition_of_vary_denominator_fraction,85,101,0.09671432315140016,0.4403701299978366,131.2099136179338,0.06265317338601924,0.28527921418202934,0.8352941176470589,0.8415841584158416
addition_two_numbers,7,7,0.10661116329859266,0.18465399177130953,9.513061406999837,0.07844773739618954,0.13587402489045963,0.7142857142857143,1.0
age_problems,101,117,0.09343805984512188,0.4403701299978366,165.8440716509832,0.05690431952381073,0.26818795924996097,0.8316831683168316,0.8632478632478633
age_problems_new,101,117,0.09543845274582866,0.4403701299978366,166.60888213949394,0.05785576137086236,0.26695685463241164,0.8316831683168316,0.8632478632478633
altitude_and_hypotenuse,1,1,,,16.830188679245282,,,0.0,1.0
angle types,0,1,,,0.0,,,0.0,0.0
angle-types,0,1,,,0.0,,,0.0,0.0
angle_bisector_theorem,83,94,0.08890183066286894,0.43509677632858035,132.4233853264862,0.05572166824481769,0.27270887499391805,0.8313253012048193,0.8829787234042553
