target_node,expected_total_cost,path_length,required_nodes,off_target_actions,planning_seconds,path_is_valid,path
6,707.7709556976272,6,6,0,0.037709199998062104,True,"[0, 1, 2, 4, 5, 6]"
7,1283.6111499953668,9,9,0,0.12349850000464357,True,"[0, 1, 2, 4, 5, 6, 11, 3, 7]"
12,1725.3343169937139,12,12,0,0.12632559999474324,True,"[0, 1, 2, 4, 5, 6, 11, 3, 7, 8, 10, 12]"
18,2475.6995718983276,16,16,0,0.17750489999889396,True,"[0, 1, 2, 4, 5, 6, 11, 3, 7, 8, 10, 12, 15, 13, 17, 18]"
29,535.7509309748093,4,4,0,0.02571219999663299,True,"[0, 1, 2, 29]"
36,2695.288005238766,17,17,0,0.18686469999374822,True,"[0, 1, 2, 4, 5, 6, 11, 3, 7, 8, 10, 12, 15, 13, 17, 32, 36]"
39,2386.7580500589133,16,16,0,0.19288950000191107,True,"[0, 1, 2, 4, 29, 5, 6, 11, 3, 7, 8, 10, 12, 13, 37, 39]"
42,2294.6000583997593,15,15,0,0.14127439999720082,True,"[0, 1, 2, 4, 5, 6, 11, 3, 7, 8, 10, 12, 40, 41, 42]"
46,1164.2420970225683,7,7,0,0.04674030000023777,True,"[0, 1, 2, 4, 3, 40, 46]"
52,2355.610012345469,15,15,0,0.153674699999101,True,"[0, 1, 2, 4, 5, 6, 11, 3, 7, 8, 10, 12, 13, 51, 52]"
