target_node,expected_total_cost,path_length,required_nodes,off_target_actions,expanded_states,iterations,planning_seconds,converged,path_is_valid,path
6,693.1040251018467,6,6,0,6,7,0.6509679999944638,True,True,"[0, 1, 2, 4, 5, 6]"
7,1242.3599493383417,9,9,0,14,15,1.0839936999982456,True,True,"[0, 1, 2, 4, 11, 5, 3, 6, 7]"
12,1718.952607351592,12,12,0,20,21,0.8123368000015034,True,True,"[0, 1, 2, 4, 11, 5, 3, 6, 7, 8, 10, 12]"
18,2419.953476356695,16,16,0,25,26,1.0968361000050209,True,True,"[0, 1, 2, 4, 11, 5, 3, 6, 7, 8, 10, 12, 15, 13, 17, 18]"
29,520.8439443139499,4,4,0,4,5,0.028439299996534828,True,True,"[0, 1, 2, 29]"
36,2625.7006385054688,17,17,0,26,27,0.3949042999956873,True,True,"[0, 1, 2, 4, 11, 5, 3, 6, 7, 8, 10, 12, 15, 13, 17, 32, 36]"
39,2314.3279729723113,16,16,0,32,33,2.8935062999953516,True,True,"[0, 1, 2, 4, 11, 5, 3, 29, 6, 7, 8, 10, 12, 13, 37, 39]"
42,2272.326415127773,15,15,0,23,24,1.4071238999968045,True,True,"[0, 1, 2, 4, 11, 3, 40, 5, 6, 7, 8, 10, 12, 41, 42]"
46,1122.7837178439654,7,7,0,8,9,0.1500293999997666,True,True,"[0, 1, 2, 3, 4, 40, 46]"
52,2276.2020080153266,15,15,0,25,26,0.5400859999936074,True,True,"[0, 1, 2, 4, 11, 5, 3, 6, 7, 8, 10, 12, 13, 51, 52]"
