target_node,expected_total_cost,path_length,required_nodes,off_target_actions,planning_seconds,path_is_valid,path
6,720.124565099023,9,6,3,0.00030110000079730526,True,"[0, 1, 2, 4, 5, 9, 11, 26, 6]"
7,1771.7760215953806,20,9,11,0.0006267999997362494,True,"[0, 1, 2, 4, 5, 9, 11, 26, 6, 29, 30, 31, 3, 21, 22, 40, 46, 50, 55, 7]"
12,2498.8379043534483,26,12,14,0.000734499997633975,True,"[0, 1, 2, 4, 5, 9, 11, 26, 6, 29, 30, 31, 3, 21, 22, 40, 46, 50, 55, 7, 27, 47, 48, 8, 10, 12]"
18,4358.32619310702,46,16,30,0.0014234999980544671,True,"[0, 1, 2, 4, 5, 9, 11, 26, 6, 29, 30, 31, 3, 21, 22, 40, 46, 50, 55, 7, 27, 47, 48, 8, 10, 12, 15, 41, 42, 13, 37, 51, 39, 52, 53, 54, 58, 59, 17, 24, 32, 34, 35, 49, 33, 18]"
29,818.6985220489148,10,4,6,0.000294400000711903,True,"[0, 1, 2, 4, 5, 9, 11, 26, 6, 29]"
36,4470.895454559592,47,17,30,0.0014870000013615936,True,"[0, 1, 2, 4, 5, 9, 11, 26, 6, 29, 30, 31, 3, 21, 22, 40, 46, 50, 55, 7, 27, 47, 48, 8, 10, 12, 15, 41, 42, 13, 37, 51, 39, 52, 53, 54, 58, 59, 17, 24, 32, 34, 35, 49, 33, 18, 36]"
39,3214.550469432488,33,16,17,0.0008998000048450194,True,"[0, 1, 2, 4, 5, 9, 11, 26, 6, 29, 30, 31, 3, 21, 22, 40, 46, 50, 55, 7, 27, 47, 48, 8, 10, 12, 15, 41, 42, 13, 37, 51, 39]"
42,2811.1156391387417,29,15,14,0.0007905000020400621,True,"[0, 1, 2, 4, 5, 9, 11, 26, 6, 29, 30, 31, 3, 21, 22, 40, 46, 50, 55, 7, 27, 47, 48, 8, 10, 12, 15, 41, 42]"
46,1461.2575987485825,17,7,10,0.0005067999954917468,True,"[0, 1, 2, 4, 5, 9, 11, 26, 6, 29, 30, 31, 3, 21, 22, 40, 46]"
52,3309.8738232805485,34,15,19,0.0009349999963887967,True,"[0, 1, 2, 4, 5, 9, 11, 26, 6, 29, 30, 31, 3, 21, 22, 40, 46, 50, 55, 7, 27, 47, 48, 8, 10, 12, 15, 41, 42, 13, 37, 51, 39, 52]"
