target_node,expected_total_cost,path_length,required_nodes,off_target_actions,expanded_states,iterations,planning_seconds,converged,path_is_valid,path
6,477.10036334212606,6,6,0,6,7,0.0001975999985006638,True,True,"[0, 1, 2, 4, 5, 6]"
7,798.1084305942068,9,9,0,19,20,0.0006203000011737458,True,True,"[0, 1, 2, 3, 4, 5, 6, 11, 7]"
12,1184.231527367597,12,12,0,22,23,0.0008056000006035902,True,True,"[0, 1, 2, 3, 4, 5, 11, 6, 7, 8, 10, 12]"
18,1639.2268027332746,16,16,0,27,28,0.0009971999970730394,True,True,"[0, 1, 2, 3, 4, 5, 6, 11, 7, 8, 10, 12, 15, 13, 17, 18]"
29,341.59815870678875,4,4,0,4,5,8.769999840296805e-05,True,True,"[0, 1, 2, 29]"
36,1722.4104793384429,17,17,0,28,29,0.0010525000034249388,True,True,"[0, 1, 2, 3, 4, 5, 6, 11, 7, 8, 10, 12, 13, 15, 17, 32, 36]"
39,1605.2322473589363,16,16,0,46,47,0.002475200002663769,True,True,"[0, 1, 2, 3, 4, 5, 6, 11, 7, 8, 10, 12, 13, 29, 37, 39]"
42,1529.623202223009,15,15,0,34,35,0.0014104000001680106,True,True,"[0, 1, 2, 3, 4, 5, 6, 11, 7, 8, 10, 12, 40, 41, 42]"
46,631.2960670040911,7,7,0,8,9,0.000182400006451644,True,True,"[0, 1, 2, 3, 4, 40, 46]"
52,1517.9743055601773,15,15,0,25,26,0.0008950000046752393,True,True,"[0, 1, 2, 3, 4, 5, 6, 11, 7, 8, 10, 12, 13, 51, 52]"
