target_node,validation_state_count,excluded_mastered_state_count,max_state_effect,packed_outputs_differ,effect_at_least_0_01,effect_at_least_0_05,config_hash,checkpoint_hash,parameter_values_hash,pooled_parameter_vector_hash,bkt_parameter_artifact_hash,pooled_parameter_artifact_hash,tuple_collection_hash,split_hash,compression_config_hash,evaluator_hash
0,1,6,0.0,False,False,False,182b079e2f068fb96434f33e909cbf5b46349e1d1290c757f6ae96917d755778,4a4ae471e06dbeeea46bf09f0502f39455576ccdd7f992e0184912cac7b60791,6a773d04b9ccd12f4d32736c1b5860ccc3cbc8f1ad20eb577ee655d205bf8f3f,b91780a500397f5fb457aab4707f7d5769dee5a7da373049bae5fae04c2cd503,d3616777af5d48b8f5bc18d37e3ad11eb892b4c98a1ea52f2283baf8f2f5cd98,5ca92b3ccb665d45f28435b51d305ba8f5e33ba4a64f0f29697f8e97e258245c,82a940ecaa922f66e9bb104cf3037acc3f6296920b7fc7ebdb3cdf011b8920c8,516885f2bc972e20f14939f63d1db14423b2745d3e1fc4c2914161bd0b92d435,cd6528322c5c9f2c36c5b326532b830e3593a8b3ca8b40199bb6afa0c3f44f5a,855a4f721d12d42e8fc685aa3638dc9d00a2d4f0aef67cae1528ac2261568de7
1,1,6,0.0,False,False,False,182b079e2f068fb96434f33e909cbf5b46349e1d1290c757f6ae96917d755778,4a4ae471e06dbeeea46bf09f0502f39455576ccdd7f992e0184912cac7b60791,6a773d04b9ccd12f4d32736c1b5860ccc3cbc8f1ad20eb577ee655d205bf8f3f,b91780a500397f5fb457aab4707f7d5769dee5a7da373049bae5fae04c2cd503,d3616777af5d48b8f5bc18d37e3ad11eb892b4c98a1ea52f2283baf8f2f5cd98,5ca92b3ccb665d45f28435b51d305ba8f5e33ba4a64f0f29697f8e97e258245c,82a940ecaa922f66e9bb104cf3037acc3f6296920b7fc7ebdb3cdf011b8920c8,516885f2bc972e20f14939f63d1db14423b2745d3e1fc4c2914161bd0b92d435,cd6528322c5c9f2c36c5b326532b830e3593a8b3ca8b40199bb6afa0c3f44f5a,855a4f721d12d42e8fc685aa3638dc9d00a2d4f0aef67cae1528ac2261568de7
2,1,6,0.0,False,False,False,182b079e2f068fb96434f33e909cbf5b46349e1d1290c757f6ae96917d755778,4a4ae471e06dbeeea46bf09f0502f39455576ccdd7f992e0184912cac7b60791,6a773d04b9ccd12f4d32736c1b5860ccc3cbc8f1ad20eb577ee655d205bf8f3f,b91780a500397f5fb457aab4707f7d5769dee5a7da373049bae5fae04c2cd503,d3616777af5d48b8f5bc18d37e3ad11eb892b4c98a1ea52f2283baf8f2f5cd98,5ca92b3ccb665d45f28435b51d305ba8f5e33ba4a64f0f29697f8e97e258245c,82a940ecaa922f66e9bb104cf3037acc3f6296920b7fc7ebdb3cdf011b8920c8,516885f2bc972e20f14939f63d1db14423b2745d3e1fc4c2914161bd0b92d435,cd6528322c5c9f2c36c5b326532b830e3593a8b3ca8b40199bb6afa0c3f44f5a,855a4f721d12d42e8fc685aa3638dc9d00a2d4f0aef67cae1528ac2261568de7
3,7,0,0.09729260206222534,True,True,True,182b079e2f068fb96434f33e909cbf5b46349e1d1290c757f6ae96917d755778,4a4ae471e06dbeeea46bf09f0502f39455576ccdd7f992e0184912cac7b60791,6a773d04b9ccd12f4d32736c1b5860ccc3cbc8f1ad20eb577ee655d205bf8f3f,b91780a500397f5fb457aab4707f7d5769dee5a7da373049bae5fae04c2cd503,d3616777af5d48b8f5bc18d37e3ad11eb892b4c98a1ea52f2283baf8f2f5cd98,5ca92b3ccb665d45f28435b51d305ba8f5e33ba4a64f0f29697f8e97e258245c,82a940ecaa922f66e9bb104cf3037acc3f6296920b7fc7ebdb3cdf011b8920c8,516885f2bc972e20f14939f63d1db14423b2745d3e1fc4c2914161bd0b92d435,cd6528322c5c9f2c36c5b326532b830e3593a8b3ca8b40199bb6afa0c3f44f5a,855a4f721d12d42e8fc685aa3638dc9d00a2d4f0aef67cae1528ac2261568de7
4,3,4,0.02414381504058838,True,True,False,182b079e2f068fb96434f33e909cbf5b46349e1d1290c757f6ae96917d755778,4a4ae471e06dbeeea46bf09f0502f39455576ccdd7f992e0184912cac7b60791,6a773d04b9ccd12f4d32736c1b5860ccc3cbc8f1ad20eb577ee655d205bf8f3f,b91780a500397f5fb457aab4707f7d5769dee5a7da373049bae5fae04c2cd503,d3616777af5d48b8f5bc18d37e3ad11eb892b4c98a1ea52f2283baf8f2f5cd98,5ca92b3ccb665d45f28435b51d305ba8f5e33ba4a64f0f29697f8e97e258245c,82a940ecaa922f66e9bb104cf3037acc3f6296920b7fc7ebdb3cdf011b8920c8,516885f2bc972e20f14939f63d1db14423b2745d3e1fc4c2914161bd0b92d435,cd6528322c5c9f2c36c5b326532b830e3593a8b3ca8b40199bb6afa0c3f44f5a,855a4f721d12d42e8fc685aa3638dc9d00a2d4f0aef67cae1528ac2261568de7
5,4,3,0.021126776933670044,True,True,False,182b079e2f068fb96434f33e909cbf5b46349e1d1290c757f6ae96917d755778,4a4ae471e06dbeeea46bf09f0502f39455576ccdd7f992e0184912cac7b60791,6a773d04b9ccd12f4d32736c1b5860ccc3cbc8f1ad20eb577ee655d205bf8f3f,b91780a500397f5fb457aab4707f7d5769dee5a7da373049bae5fae04c2cd503,d3616777af5d48b8f5bc18d37e3ad11eb892b4c98a1ea52f2283baf8f2f5cd98,5ca92b3ccb665d45f28435b51d305ba8f5e33ba4a64f0f29697f8e97e258245c,82a940ecaa922f66e9bb104cf3037acc3f6296920b7fc7ebdb3cdf011b8920c8,516885f2bc972e20f14939f63d1db14423b2745d3e1fc4c2914161bd0b92d435,cd6528322c5c9f2c36c5b326532b830e3593a8b3ca8b40199bb6afa0c3f44f5a,855a4f721d12d42e8fc685aa3638dc9d00a2d4f0aef67cae1528ac2261568de7
6,4,3,0.0257035493850708,True,True,False,182b079e2f068fb96434f33e909cbf5b46349e1d1290c757f6ae96917d755778,4a4ae471e06dbeeea46bf09f0502f39455576ccdd7f992e0184912cac7b60791,6a773d04b9ccd12f4d32736c1b5860ccc3cbc8f1ad20eb577ee655d205bf8f3f,b91780a500397f5fb457aab4707f7d5769dee5a7da373049bae5fae04c2cd503,d3616777af5d48b8f5bc18d37e3ad11eb892b4c98a1ea52f2283baf8f2f5cd98,5ca92b3ccb665d45f28435b51d305ba8f5e33ba4a64f0f29697f8e97e258245c,82a940ecaa922f66e9bb104cf3037acc3f6296920b7fc7ebdb3cdf011b8920c8,516885f2bc972e20f14939f63d1db14423b2745d3e1fc4c2914161bd0b92d435,cd6528322c5c9f2c36c5b326532b830e3593a8b3ca8b40199bb6afa0c3f44f5a,855a4f721d12d42e8fc685aa3638dc9d00a2d4f0aef67cae1528ac2261568de7
7,7,0,0.03244328498840332,True,True,False,182b079e2f068fb96434f33e909cbf5b46349e1d1290c757f6ae96917d755778,4a4ae471e06dbeeea46bf09f0502f39455576ccdd7f992e0184912cac7b60791,6a773d04b9ccd12f4d32736c1b5860ccc3cbc8f1ad20eb577ee655d205bf8f3f,b91780a500397f5fb457aab4707f7d5769dee5a7da373049bae5fae04c2cd503,d3616777af5d48b8f5bc18d37e3ad11eb892b4c98a1ea52f2283baf8f2f5cd98,5ca92b3ccb665d45f28435b51d305ba8f5e33ba4a64f0f29697f8e97e258245c,82a940ecaa922f66e9bb104cf3037acc3f6296920b7fc7ebdb3cdf011b8920c8,516885f2bc972e20f14939f63d1db14423b2745d3e1fc4c2914161bd0b92d435,cd6528322c5c9f2c36c5b326532b830e3593a8b3ca8b40199bb6afa0c3f44f5a,855a4f721d12d42e8fc685aa3638dc9d00a2d4f0aef67cae1528ac2261568de7
8,7,0,0.06157034635543823,True,True,True,182b079e2f068fb96434f33e909cbf5b46349e1d1290c757f6ae96917d755778,4a4ae471e06dbeeea46bf09f0502f39455576ccdd7f992e0184912cac7b60791,6a773d04b9ccd12f4d32736c1b5860ccc3cbc8f1ad20eb577ee655d205bf8f3f,b91780a500397f5fb457aab4707f7d5769dee5a7da373049bae5fae04c2cd503,d3616777af5d48b8f5bc18d37e3ad11eb892b4c98a1ea52f2283baf8f2f5cd98,5ca92b3ccb665d45f28435b51d305ba8f5e33ba4a64f0f29697f8e97e258245c,82a940ecaa922f66e9bb104cf3037acc3f6296920b7fc7ebdb3cdf011b8920c8,516885f2bc972e20f14939f63d1db14423b2745d3e1fc4c2914161bd0b92d435,cd6528322c5c9f2c36c5b326532b830e3593a8b3ca8b40199bb6afa0c3f44f5a,855a4f721d12d42e8fc685aa3638dc9d00a2d4f0aef67cae1528ac2261568de7
10,7,0,0.07760953903198242,True,True,True,182b079e2f068fb96434f33e909cbf5b46349e1d1290c757f6ae96917d755778,4a4ae471e06dbeeea46bf09f0502f39455576ccdd7f992e0184912cac7b60791,6a773d04b9ccd12f4d32736c1b5860ccc3cbc8f1ad20eb577ee655d205bf8f3f,b91780a500397f5fb457aab4707f7d5769dee5a7da373049bae5fae04c2cd503,d3616777af5d48b8f5bc18d37e3ad11eb892b4c98a1ea52f2283baf8f2f5cd98,5ca92b3ccb665d45f28435b51d305ba8f5e33ba4a64f0f29697f8e97e258245c,82a940ecaa922f66e9bb104cf3037acc3f6296920b7fc7ebdb3cdf011b8920c8,516885f2bc972e20f14939f63d1db14423b2745d3e1fc4c2914161bd0b92d435,cd6528322c5c9f2c36c5b326532b830e3593a8b3ca8b40199bb6afa0c3f44f5a,855a4f721d12d42e8fc685aa3638dc9d00a2d4f0aef67cae1528ac2261568de7
