target_node,expected_total_cost,path_length,required_nodes,off_target_actions,planning_seconds,path_is_valid,path
6,523.3320622516543,6,6,0,3.399999695830047e-05,True,"[0, 1, 2, 4, 5, 6]"
7,803.5576208489181,9,9,0,6.150000263005495e-05,True,"[0, 1, 2, 4, 5, 6, 11, 3, 7]"
12,1114.0375846777576,12,12,0,5.9499994677025825e-05,True,"[0, 1, 2, 4, 5, 6, 11, 3, 7, 8, 10, 12]"
18,1487.309968269326,16,16,0,6.489999941550195e-05,True,"[0, 1, 2, 4, 5, 6, 11, 3, 7, 8, 10, 12, 15, 13, 17, 18]"
29,360.15623361136744,4,4,0,1.290000363951549e-05,True,"[0, 1, 2, 29]"
36,1569.2893478177152,17,17,0,7.030000415397808e-05,True,"[0, 1, 2, 4, 5, 6, 11, 3, 7, 8, 10, 12, 15, 13, 17, 32, 36]"
39,1477.7005597959335,16,16,0,6.540000322274864e-05,True,"[0, 1, 2, 4, 29, 5, 6, 11, 3, 7, 8, 10, 12, 13, 37, 39]"
42,1370.9924442356396,15,15,0,6.209999992279336e-05,True,"[0, 1, 2, 4, 5, 6, 11, 3, 7, 40, 8, 10, 12, 41, 42]"
46,637.1845634539189,7,7,0,2.25000039790757e-05,True,"[0, 1, 2, 4, 3, 40, 46]"
52,1409.6811068476886,15,15,0,5.5800002883188426e-05,True,"[0, 1, 2, 4, 5, 6, 11, 3, 7, 8, 10, 12, 13, 51, 52]"
