target_node,greedy_internal_cost,lao_internal_cost,exact_dp_cost,greedy_minus_lao,lao_dp_absolute_gap,sequence_matches_greedy,expanded_states,iterations,planning_seconds,converged
6,685.5731829666139,685.5731829666139,685.5731829666139,0.0,0.0,True,6,7,0.001604699995368719,True
7,1066.8370187560813,1055.209240011874,1055.209240011874,11.627778744207262,0.0,False,19,20,0.0039034999208524823,True
12,1385.6678552383587,1374.0400764941517,1374.0400764941517,11.627778744207035,0.0,False,22,23,0.0016925999661907554,True
18,1798.7637317344995,1787.1359529902925,1787.1359529902925,11.627778744207035,0.0,False,27,28,0.002406400046311319,True
29,502.9111177905388,502.9111177905388,502.9111177905388,0.0,0.0,True,4,5,0.0002125999890267849,True
36,1923.6843839044832,1912.0566051602764,1912.0566051602764,11.627778744206807,0.0,False,28,29,0.0016952999867498875,True
39,1875.8822519062207,1851.7075611012974,1851.7075611012974,24.17469080492333,0.0,False,46,47,0.006799299968406558,True
42,1727.6523254457761,1709.561525431128,1709.561525431128,18.09080001464804,0.0,False,34,35,0.00256910000462085,True
46,850.165639799527,846.9320408572402,846.9320408572402,3.2335989422867897,0.0,False,8,9,0.0002482000272721052,True
52,1830.676567970874,1819.0487892266672,1819.0487892266672,11.627778744206807,0.0,False,25,26,0.0009458999847993255,True
