target_node,validation_state_count,excluded_mastered_state_count,max_state_effect,packed_outputs_differ,effect_at_least_0_01,effect_at_least_0_05,config_hash,checkpoint_hash,teacher_tensor_hash,teacher_checkpoint_hash,tuple_collection_hash,split_hash,compression_config_hash,evaluator_hash
0,1,6,0.0,False,False,False,5333f3064b10c8a25424e49f7030844fc19ad9197519e7ecabe6da6d919d108d,74ee76f29e852b77f3116a6840386342ec256088a245a871a67ff4f4142c012a,48901d7eeab0580aba90d0fce1d282d300121ea6cbe5abe73791af30299df490,78f6513776897444445d13d182ec4851baafe84e8c0fbdcd8c4a765a3c26e2d6,7e03a1c022f9164fd2c5377ce30b6383e5bdab70c1f2767716a3ac45f2a939c8,516885f2bc972e20f14939f63d1db14423b2745d3e1fc4c2914161bd0b92d435,cd6528322c5c9f2c36c5b326532b830e3593a8b3ca8b40199bb6afa0c3f44f5a,855a4f721d12d42e8fc685aa3638dc9d00a2d4f0aef67cae1528ac2261568de7
1,1,6,0.0,False,False,False,5333f3064b10c8a25424e49f7030844fc19ad9197519e7ecabe6da6d919d108d,74ee76f29e852b77f3116a6840386342ec256088a245a871a67ff4f4142c012a,48901d7eeab0580aba90d0fce1d282d300121ea6cbe5abe73791af30299df490,78f6513776897444445d13d182ec4851baafe84e8c0fbdcd8c4a765a3c26e2d6,7e03a1c022f9164fd2c5377ce30b6383e5bdab70c1f2767716a3ac45f2a939c8,516885f2bc972e20f14939f63d1db14423b2745d3e1fc4c2914161bd0b92d435,cd6528322c5c9f2c36c5b326532b830e3593a8b3ca8b40199bb6afa0c3f44f5a,855a4f721d12d42e8fc685aa3638dc9d00a2d4f0aef67cae1528ac2261568de7
2,1,6,0.0,False,False,False,5333f3064b10c8a25424e49f7030844fc19ad9197519e7ecabe6da6d919d108d,74ee76f29e852b77f3116a6840386342ec256088a245a871a67ff4f4142c012a,48901d7eeab0580aba90d0fce1d282d300121ea6cbe5abe73791af30299df490,78f6513776897444445d13d182ec4851baafe84e8c0fbdcd8c4a765a3c26e2d6,7e03a1c022f9164fd2c5377ce30b6383e5bdab70c1f2767716a3ac45f2a939c8,516885f2bc972e20f14939f63d1db14423b2745d3e1fc4c2914161bd0b92d435,cd6528322c5c9f2c36c5b326532b830e3593a8b3ca8b40199bb6afa0c3f44f5a,855a4f721d12d42e8fc685aa3638dc9d00a2d4f0aef67cae1528ac2261568de7
3,7,0,0.04083731770515442,True,True,False,5333f3064b10c8a25424e49f7030844fc19ad9197519e7ecabe6da6d919d108d,74ee76f29e852b77f3116a6840386342ec256088a245a871a67ff4f4142c012a,48901d7eeab0580aba90d0fce1d282d300121ea6cbe5abe73791af30299df490,78f6513776897444445d13d182ec4851baafe84e8c0fbdcd8c4a765a3c26e2d6,7e03a1c022f9164fd2c5377ce30b6383e5bdab70c1f2767716a3ac45f2a939c8,516885f2bc972e20f14939f63d1db14423b2745d3e1fc4c2914161bd0b92d435,cd6528322c5c9f2c36c5b326532b830e3593a8b3ca8b40199bb6afa0c3f44f5a,855a4f721d12d42e8fc685aa3638dc9d00a2d4f0aef67cae1528ac2261568de7
4,3,4,0.03747135400772095,True,True,False,5333f3064b10c8a25424e49f7030844fc19ad9197519e7ecabe6da6d919d108d,74ee76f29e852b77f3116a6840386342ec256088a245a871a67ff4f4142c012a,48901d7eeab0580aba90d0fce1d282d300121ea6cbe5abe73791af30299df490,78f6513776897444445d13d182ec4851baafe84e8c0fbdcd8c4a765a3c26e2d6,7e03a1c022f9164fd2c5377ce30b6383e5bdab70c1f2767716a3ac45f2a939c8,516885f2bc972e20f14939f63d1db14423b2745d3e1fc4c2914161bd0b92d435,cd6528322c5c9f2c36c5b326532b830e3593a8b3ca8b40199bb6afa0c3f44f5a,855a4f721d12d42e8fc685aa3638dc9d00a2d4f0aef67cae1528ac2261568de7
5,4,3,0.02227923274040222,True,True,False,5333f3064b10c8a25424e49f7030844fc19ad9197519e7ecabe6da6d919d108d,74ee76f29e852b77f3116a6840386342ec256088a245a871a67ff4f4142c012a,48901d7eeab0580aba90d0fce1d282d300121ea6cbe5abe73791af30299df490,78f6513776897444445d13d182ec4851baafe84e8c0fbdcd8c4a765a3c26e2d6,7e03a1c022f9164fd2c5377ce30b6383e5bdab70c1f2767716a3ac45f2a939c8,516885f2bc972e20f14939f63d1db14423b2745d3e1fc4c2914161bd0b92d435,cd6528322c5c9f2c36c5b326532b830e3593a8b3ca8b40199bb6afa0c3f44f5a,855a4f721d12d42e8fc685aa3638dc9d00a2d4f0aef67cae1528ac2261568de7
6,4,3,0.09527415037155151,True,True,True,5333f3064b10c8a25424e49f7030844fc19ad9197519e7ecabe6da6d919d108d,74ee76f29e852b77f3116a6840386342ec256088a245a871a67ff4f4142c012a,48901d7eeab0580aba90d0fce1d282d300121ea6cbe5abe73791af30299df490,78f6513776897444445d13d182ec4851baafe84e8c0fbdcd8c4a765a3c26e2d6,7e03a1c022f9164fd2c5377ce30b6383e5bdab70c1f2767716a3ac45f2a939c8,516885f2bc972e20f14939f63d1db14423b2745d3e1fc4c2914161bd0b92d435,cd6528322c5c9f2c36c5b326532b830e3593a8b3ca8b40199bb6afa0c3f44f5a,855a4f721d12d42e8fc685aa3638dc9d00a2d4f0aef67cae1528ac2261568de7
7,7,0,0.09907829761505127,True,True,True,5333f3064b10c8a25424e49f7030844fc19ad9197519e7ecabe6da6d919d108d,74ee76f29e852b77f3116a6840386342ec256088a245a871a67ff4f4142c012a,48901d7eeab0580aba90d0fce1d282d300121ea6cbe5abe73791af30299df490,78f6513776897444445d13d182ec4851baafe84e8c0fbdcd8c4a765a3c26e2d6,7e03a1c022f9164fd2c5377ce30b6383e5bdab70c1f2767716a3ac45f2a939c8,516885f2bc972e20f14939f63d1db14423b2745d3e1fc4c2914161bd0b92d435,cd6528322c5c9f2c36c5b326532b830e3593a8b3ca8b40199bb6afa0c3f44f5a,855a4f721d12d42e8fc685aa3638dc9d00a2d4f0aef67cae1528ac2261568de7
8,7,0,0.02838471531867981,True,True,False,5333f3064b10c8a25424e49f7030844fc19ad9197519e7ecabe6da6d919d108d,74ee76f29e852b77f3116a6840386342ec256088a245a871a67ff4f4142c012a,48901d7eeab0580aba90d0fce1d282d300121ea6cbe5abe73791af30299df490,78f6513776897444445d13d182ec4851baafe84e8c0fbdcd8c4a765a3c26e2d6,7e03a1c022f9164fd2c5377ce30b6383e5bdab70c1f2767716a3ac45f2a939c8,516885f2bc972e20f14939f63d1db14423b2745d3e1fc4c2914161bd0b92d435,cd6528322c5c9f2c36c5b326532b830e3593a8b3ca8b40199bb6afa0c3f44f5a,855a4f721d12d42e8fc685aa3638dc9d00a2d4f0aef67cae1528ac2261568de7
10,7,0,0.10674092173576355,True,True,True,5333f3064b10c8a25424e49f7030844fc19ad9197519e7ecabe6da6d919d108d,74ee76f29e852b77f3116a6840386342ec256088a245a871a67ff4f4142c012a,48901d7eeab0580aba90d0fce1d282d300121ea6cbe5abe73791af30299df490,78f6513776897444445d13d182ec4851baafe84e8c0fbdcd8c4a765a3c26e2d6,7e03a1c022f9164fd2c5377ce30b6383e5bdab70c1f2767716a3ac45f2a939c8,516885f2bc972e20f14939f63d1db14423b2745d3e1fc4c2914161bd0b92d435,cd6528322c5c9f2c36c5b326532b830e3593a8b3ca8b40199bb6afa0c3f44f5a,855a4f721d12d42e8fc685aa3638dc9d00a2d4f0aef67cae1528ac2261568de7
