oracle,split,metric,value,source_path,source_sha256,manifest_hash,evaluator_hash
FrozenMonotonicOracle,validation,samples,3103.0,results/ariadne_greedy/oracle_valid_metrics.csv,aec947521a77c3ecc6a4a0d0d0306d5984e3d21d8132ad31009576c858d30b79,f03496e703b4e6a04ad46f24c42e55d92bdc88266d92dbd19d77d2892d3c8cad,855a4f721d12d42e8fc685aa3638dc9d00a2d4f0aef67cae1528ac2261568de7
FrozenMonotonicOracle,validation,binary_samples,2170.0,results/ariadne_greedy/oracle_valid_metrics.csv,aec947521a77c3ecc6a4a0d0d0306d5984e3d21d8132ad31009576c858d30b79,f03496e703b4e6a04ad46f24c42e55d92bdc88266d92dbd19d77d2892d3c8cad,855a4f721d12d42e8fc685aa3638dc9d00a2d4f0aef67cae1528ac2261568de7
FrozenMonotonicOracle,validation,full_feature_mse,0.1236729696393013,results/ariadne_greedy/oracle_valid_metrics.csv,aec947521a77c3ecc6a4a0d0d0306d5984e3d21d8132ad31009576c858d30b79,f03496e703b4e6a04ad46f24c42e55d92bdc88266d92dbd19d77d2892d3c8cad,855a4f721d12d42e8fc685aa3638dc9d00a2d4f0aef67cae1528ac2261568de7
FrozenMonotonicOracle,validation,full_feature_rmse,0.35167166590690613,results/ariadne_greedy/oracle_valid_metrics.csv,aec947521a77c3ecc6a4a0d0d0306d5984e3d21d8132ad31009576c858d30b79,f03496e703b4e6a04ad46f24c42e55d92bdc88266d92dbd19d77d2892d3c8cad,855a4f721d12d42e8fc685aa3638dc9d00a2d4f0aef67cae1528ac2261568de7
FrozenMonotonicOracle,validation,full_feature_mae,0.30333033204078674,results/ariadne_greedy/oracle_valid_metrics.csv,aec947521a77c3ecc6a4a0d0d0306d5984e3d21d8132ad31009576c858d30b79,f03496e703b4e6a04ad46f24c42e55d92bdc88266d92dbd19d77d2892d3c8cad,855a4f721d12d42e8fc685aa3638dc9d00a2d4f0aef67cae1528ac2261568de7
FrozenMonotonicOracle,validation,full_feature_auc,0.7748728930221175,results/ariadne_greedy/oracle_valid_metrics.csv,aec947521a77c3ecc6a4a0d0d0306d5984e3d21d8132ad31009576c858d30b79,f03496e703b4e6a04ad46f24c42e55d92bdc88266d92dbd19d77d2892d3c8cad,855a4f721d12d42e8fc685aa3638dc9d00a2d4f0aef67cae1528ac2261568de7
FrozenMonotonicOracle,validation,full_feature_accuracy,0.7986175115207373,results/ariadne_greedy/oracle_valid_metrics.csv,aec947521a77c3ecc6a4a0d0d0306d5984e3d21d8132ad31009576c858d30b79,f03496e703b4e6a04ad46f24c42e55d92bdc88266d92dbd19d77d2892d3c8cad,855a4f721d12d42e8fc685aa3638dc9d00a2d4f0aef67cae1528ac2261568de7
FrozenMonotonicOracle,validation,planning_mode_mse,0.2506786584854126,results/ariadne_greedy/oracle_valid_metrics.csv,aec947521a77c3ecc6a4a0d0d0306d5984e3d21d8132ad31009576c858d30b79,f03496e703b4e6a04ad46f24c42e55d92bdc88266d92dbd19d77d2892d3c8cad,855a4f721d12d42e8fc685aa3638dc9d00a2d4f0aef67cae1528ac2261568de7
FrozenMonotonicOracle,validation,planning_mode_rmse,0.5006781816482544,results/ariadne_greedy/oracle_valid_metrics.csv,aec947521a77c3ecc6a4a0d0d0306d5984e3d21d8132ad31009576c858d30b79,f03496e703b4e6a04ad46f24c42e55d92bdc88266d92dbd19d77d2892d3c8cad,855a4f721d12d42e8fc685aa3638dc9d00a2d4f0aef67cae1528ac2261568de7
FrozenMonotonicOracle,validation,planning_mode_mae,0.4365278482437134,results/ariadne_greedy/oracle_valid_metrics.csv,aec947521a77c3ecc6a4a0d0d0306d5984e3d21d8132ad31009576c858d30b79,f03496e703b4e6a04ad46f24c42e55d92bdc88266d92dbd19d77d2892d3c8cad,855a4f721d12d42e8fc685aa3638dc9d00a2d4f0aef67cae1528ac2261568de7
FrozenMonotonicOracle,validation,planning_mode_auc,0.6109516962892716,results/ariadne_greedy/oracle_valid_metrics.csv,aec947521a77c3ecc6a4a0d0d0306d5984e3d21d8132ad31009576c858d30b79,f03496e703b4e6a04ad46f24c42e55d92bdc88266d92dbd19d77d2892d3c8cad,855a4f721d12d42e8fc685aa3638dc9d00a2d4f0aef67cae1528ac2261568de7
