target_node,expected_total_cost,path_length,required_nodes,off_target_actions,planning_seconds,path_is_valid,path
6,554.033949827093,7,6,1,0.0001899999988381751,True,"[0, 1, 2, 4, 29, 5, 6]"
7,1244.268850695919,15,9,6,0.0002879999956348911,True,"[0, 1, 2, 4, 29, 5, 6, 9, 11, 26, 27, 30, 31, 3, 7]"
12,2005.886898716515,24,12,12,0.00040550000267103314,True,"[0, 1, 2, 4, 29, 5, 6, 9, 11, 26, 27, 30, 31, 3, 7, 40, 46, 55, 21, 22, 50, 8, 10, 12]"
18,2578.581664268904,31,16,15,0.0005416999993030913,True,"[0, 1, 2, 4, 29, 5, 6, 9, 11, 26, 27, 30, 31, 3, 7, 40, 46, 55, 21, 22, 50, 8, 10, 12, 41, 15, 42, 13, 17, 19, 18]"
29,395.6651703555492,5,4,1,8.820000221021473e-05,True,"[0, 1, 2, 4, 29]"
36,2895.0271402085714,35,17,18,0.000639899997622706,True,"[0, 1, 2, 4, 29, 5, 6, 9, 11, 26, 27, 30, 31, 3, 7, 40, 46, 55, 21, 22, 50, 8, 10, 12, 41, 15, 42, 13, 17, 19, 18, 24, 32, 35, 36]"
39,3219.520415675154,39,16,23,0.0007150000019464642,True,"[0, 1, 2, 4, 29, 5, 6, 9, 11, 26, 27, 30, 31, 3, 7, 40, 46, 55, 21, 22, 50, 8, 10, 12, 41, 15, 42, 13, 17, 19, 18, 24, 32, 35, 36, 33, 34, 37, 39]"
42,2232.391500620112,27,15,12,0.0004639999970095232,True,"[0, 1, 2, 4, 29, 5, 6, 9, 11, 26, 27, 30, 31, 3, 7, 40, 46, 55, 21, 22, 50, 8, 10, 12, 41, 15, 42]"
46,1399.3479496750206,17,7,10,0.0002913999996962957,True,"[0, 1, 2, 4, 29, 5, 6, 9, 11, 26, 27, 30, 31, 3, 7, 40, 46]"
52,3664.77428997651,44,15,29,0.0008175000039045699,True,"[0, 1, 2, 4, 29, 5, 6, 9, 11, 26, 27, 30, 31, 3, 7, 40, 46, 55, 21, 22, 50, 8, 10, 12, 41, 15, 42, 13, 17, 19, 18, 24, 32, 35, 36, 33, 34, 37, 39, 51, 14, 28, 20, 52]"
