target_node,expected_total_cost,path_length,required_nodes,off_target_actions,expanded_states,iterations,planning_seconds,converged,path_is_valid,path
6,478.13614537026,6,6,0,14,14,0.0007507999980589375,True,True,"[0, 1, 2, 4, 5, 6]"
7,742.4050893127226,9,9,0,118,118,0.012976699996215757,True,True,"[0, 1, 2, 3, 4, 5, 6, 11, 7]"
12,1008.6746450373157,12,12,0,562,562,0.2659983999983524,True,True,"[0, 1, 2, 4, 5, 3, 6, 11, 7, 8, 10, 12]"
18,1342.9029001483889,16,16,0,2236,2236,11.973371900006896,True,True,"[0, 1, 2, 3, 4, 5, 6, 11, 7, 8, 10, 12, 13, 15, 17, 18]"
29,331.5038802982031,4,4,0,5,5,0.002194299995608162,True,True,"[0, 1, 2, 29]"
36,1417.3582569773534,17,17,0,3120,3120,27.539807599998312,True,True,"[0, 1, 2, 4, 3, 5, 6, 11, 7, 8, 10, 12, 13, 15, 17, 32, 36]"
39,1335.5100582303587,16,16,0,2332,2332,14.06710970000131,True,True,"[0, 1, 2, 3, 4, 5, 6, 11, 7, 8, 10, 12, 13, 29, 37, 39]"
42,1246.6546043778683,15,15,0,1425,1425,4.718198999995366,True,True,"[0, 1, 2, 3, 4, 5, 6, 11, 7, 40, 8, 10, 12, 41, 42]"
46,582.945643969505,7,7,0,40,40,0.010422300001664553,True,True,"[0, 1, 2, 3, 4, 40, 46]"
52,1286.8344676565296,15,15,0,1727,1727,6.689693000000261,True,True,"[0, 1, 2, 3, 4, 5, 6, 11, 7, 8, 10, 12, 13, 51, 52]"
