target_node,p_bar_mode,rho_s0,rho_mean,rho_median,rho_min,rho_max,rho_std,reachable_states,r_prune
6,loose,0.4921788971510264,0.4128551293439043,0.4478770514590198,0.21004873514175415,0.4921788971510264,0.09647042135845625,7,1.0
6,tight,0.024617277711253844,0.020189994815385245,0.022047782772092094,0.009984282326203802,0.024617277711253844,0.004896164983430925,7,1.0
7,loose,0.5916674200739247,0.5524371044592303,0.5915172357558545,0.2889582930307617,0.7246313286701681,0.11668429954587818,20,1.0
7,tight,0.028297417325182678,0.025580474253083598,0.027864407599893486,0.013100746433476012,0.03319273391781993,0.005471933005872698,20,1.0
12,loose,0.5976631334189143,0.5787934588533074,0.597878432504375,0.26759791374206543,0.6677274210357804,0.07959785569102268,23,1.0
12,tight,0.027932829274402788,0.026000296010939415,0.027036255491351736,0.011390396936514603,0.030107877397783485,0.0037942919902341663,23,1.0
18,loose,0.6159081622634998,0.6310983222478329,0.626477283842984,0.5788999257844997,0.6964393283553271,0.026666754050396205,28,1.0
18,tight,0.02760111722627971,0.02668926468343375,0.026764873243501575,0.024582347611596393,0.028782511966524753,0.001180377648495595,28,1.0
29,loose,0.5526956835700821,0.5322679844233087,0.5294537320628856,0.5174687899973816,0.5526956835700821,0.013974412298755637,5,1.0
29,tight,0.027927708046985165,0.026559750897690804,0.02631506601467197,0.02568116351443412,0.027927708046985165,0.0009385640579191285,5,1.0
36,loose,0.6237202336882385,0.6475713899721621,0.6447133377453564,0.5952031934109921,0.7569241523742676,0.03309498218843197,29,1.0
36,tight,0.027584152070778693,0.02691600538146444,0.026905761386924243,0.024915191163910035,0.029097880358993217,0.0010600656170434999,29,1.0
39,loose,0.6020469594383746,0.6022250841410244,0.6038598784992183,0.5316135766775559,0.657846136504193,0.03085205167902001,47,1.0
39,tight,0.02704783758757476,0.025574338099126844,0.025683931495385098,0.02131189895657954,0.028356108763335167,0.00174519979080333,47,1.0
42,loose,0.6208754757862439,0.6265900819396059,0.6250015238678382,0.5639328765218646,0.7383908033370972,0.03722281485389812,35,1.0
42,tight,0.02800440441010755,0.02666122449859796,0.02661704032712827,0.02264121024035704,0.029446567574633264,0.0016974359549518437,35,1.0
46,loose,0.6485212479154745,0.6486212517518839,0.6628119042475418,0.5007200539112091,0.7494673154261097,0.06969974777601062,9,1.0
46,tight,0.03160419173237921,0.03098662890189345,0.03192903471268288,0.02334696200865388,0.03582570829001441,0.003527307680879312,9,1.0
52,loose,0.6166766374295423,0.6307800687540666,0.625154735724581,0.5762138184632835,0.680671364068985,0.027061868339379982,26,1.0
52,tight,0.02790170962335629,0.02710593057132772,0.027371923399215462,0.02475777241615918,0.029322334455279524,0.0012444207712681461,26,1.0
