n,width,beta,seed,p_bar_mode,rho_s0,rho_mean,r_prune,r_dp
10,2,0.0,42,loose,0.45807416104370396,0.465316695231553,1.0,1.0
10,2,0.0,42,tight,0.0,0.0,1.6363636363636365,1.6363636363636365
10,2,0.0,43,loose,0.49425065940840074,0.45854925414456355,1.0,1.0
10,2,0.0,43,tight,0.0,0.0,2.090909090909091,2.090909090909091
10,2,0.0,44,loose,0.5519188086408207,0.5141182577330431,1.0,1.0
10,2,0.0,44,tight,0.0,1.049489882790213e-17,2.3636363636363638,2.3636363636363638
10,2,0.5,42,loose,0.31786166605092264,0.26607557114272745,1.0,1.0
10,2,0.5,42,tight,1.292502501256038e-16,1.457545995722072e-17,1.6363636363636365,1.6363636363636365
10,2,0.5,43,loose,0.36771393377849776,0.27336706969523494,1.0,1.0
10,2,0.5,43,tight,0.0,0.0,2.090909090909091,2.090909090909091
10,2,0.5,44,loose,0.4234815813628464,0.35164263353493697,1.0,1.0
10,2,0.5,44,tight,0.0,0.0,2.3636363636363638,2.3636363636363638
10,2,1.0,42,loose,0.23751604505502671,0.14118236038656207,1.0,1.0
10,2,1.0,42,tight,0.0,0.0,1.6363636363636365,1.6363636363636365
10,2,1.0,43,loose,0.29061141614854274,0.15528436542697874,1.0,1.0
10,2,1.0,43,tight,0.0,0.0,1.0454545454545454,1.0454545454545454
10,2,1.0,44,loose,0.32885597886747514,0.23009165432670795,1.0,1.0
10,2,1.0,44,tight,0.0,1.28084702739423e-17,2.1666666666666665,2.1666666666666665
10,2,2.0,42,loose,0.17754764725309236,0.05050161577637432,1.0,1.0
10,2,2.0,42,tight,0.0,6.180600367346126e-17,1.6363636363636365,1.6363636363636365
10,2,2.0,43,loose,0.22578732571474425,0.061456017600308804,1.0,1.0
10,2,2.0,43,tight,0.0,0.0,1.0952380952380953,1.0952380952380953
10,2,2.0,44,loose,0.22666373463952494,0.10113047448518349,1.0,1.0
10,2,2.0,44,tight,0.0,0.0,2.3636363636363638,2.3636363636363638
10,3,0.0,42,loose,0.45807416104370396,0.4476937702829787,1.0,1.0
