target_node,expected_total_cost,path_length,required_nodes,off_target_actions,planning_seconds,path_is_valid,path
6,698.0283263776017,6,6,0,0.054598400005488656,True,"[0, 1, 2, 4, 5, 6]"
7,1265.815581119147,9,9,0,0.07046039999841014,True,"[0, 1, 2, 11, 3, 4, 5, 6, 7]"
12,1720.218250269716,12,12,0,0.1063334999998915,True,"[0, 1, 2, 11, 3, 4, 5, 6, 7, 8, 10, 12]"
18,2493.3839491838417,16,16,0,0.14862030000222148,True,"[0, 1, 2, 11, 3, 4, 5, 6, 7, 8, 10, 12, 13, 15, 17, 18]"
29,524.2147064848892,4,4,0,0.03110999999626074,True,"[0, 1, 2, 29]"
36,2683.359403414097,17,17,0,0.12423519999720156,True,"[0, 1, 2, 11, 3, 4, 5, 6, 7, 8, 10, 12, 13, 15, 17, 32, 36]"
39,2400.1082263673097,16,16,0,0.11551370000233874,True,"[0, 1, 2, 11, 3, 4, 5, 6, 7, 8, 10, 12, 13, 29, 37, 39]"
42,2317.2253028209707,15,15,0,0.1216229999990901,True,"[0, 1, 2, 11, 3, 4, 5, 6, 7, 8, 10, 12, 40, 41, 42]"
46,1096.1493187979756,7,7,0,0.03715830000146525,True,"[0, 1, 2, 3, 4, 40, 46]"
52,2332.3165064233895,15,15,0,0.14445559999876423,True,"[0, 1, 2, 11, 3, 4, 5, 6, 7, 8, 10, 12, 13, 51, 52]"
