target_node,strategy_name,expected_total_cost,path_length,bottleneck_node_id,bottleneck_p
1,Ariadne-Full,277.9052,2,1,0.424075
1,Ariadne-Neutral,284.5622,2,1,0.429392
1,Myopic,281.4533,2,1,0.414658
1,No-Prior,170.4041,2,0,0.704209
6,Ariadne-Full,711.9981,6,5,0.394848
6,Ariadne-Neutral,699.7971,6,5,0.381397
6,Myopic,715.4312,6,5,0.393988
6,No-Prior,478.1361,6,0,0.704209
13,Ariadne-Full,1943.3793,13,3,0.193706
13,Ariadne-Neutral,1942.011,13,3,0.19982
13,Myopic,1957.1983,13,3,0.185721
13,No-Prior,1104.7474,13,3,0.555046
14,Ariadne-Full,2074.8498,14,3,0.196064
14,Ariadne-Neutral,2146.9369,14,3,0.20426
14,Myopic,2130.2797,14,3,0.185576
14,No-Prior,1192.9408,14,3,0.555046
34,Ariadne-Full,2531.2508,17,3,0.194139
34,Ariadne-Neutral,2515.2957,17,3,0.192994
34,Myopic,2549.3554,17,3,0.196887
34,No-Prior,1428.4591,17,3,0.555046
37,Ariadne-Full,2224.771,15,3,0.212927
37,Ariadne-Neutral,2239.9175,15,3,0.215153
37,Myopic,2224.9487,15,3,0.180646
37,No-Prior,1265.8473,15,3,0.555046
46,Ariadne-Full,1076.7634,7,3,0.193322
46,Ariadne-Neutral,1088.3566,7,3,0.202962
46,Myopic,1187.0021,7,3,0.21312
46,No-Prior,582.9456,7,3,0.555046
49,Ariadne-Full,3448.9687,22,3,0.181773
49,Ariadne-Neutral,3459.4075,22,3,0.201018
49,Myopic,3479.6491,22,3,0.208792
49,No-Prior,1851.1917,22,47,0.542931
55,Ariadne-Full,1534.9733,10,3,0.179721
55,Ariadne-Neutral,1522.3331,10,3,0.200555
55,Myopic,1595.1151,10,3,0.214783
55,No-Prior,825.9777,10,3,0.555046
58,Ariadne-Full,2860.6601,18,3,0.172288
58,Ariadne-Neutral,2883.8151,18,3,0.191045
58,Myopic,2888.5702,18,3,0.187193
58,No-Prior,1527.1156,18,3,0.555046
