target_node,solver,optimal_cost,sequence_length,expanded_states,generated_states,oracle_calls,edge_cost_evaluations,peak_open_size,stored_states,wall_seconds,decrease_key_updates,reopens,revision_passes,state_backups,marked_action_changes
6,full_dp,708.9110672643005,6,6,6,6,6,1,7,0.004665499996917788,0,0,0,0,0
6,dijkstra,708.9110672643005,6,7,6,6,6,1,7,0.00199350000184495,0,0,0,0,0
6,astar,708.9110672643005,6,7,6,6,6,1,7,0.0016335000000253785,0,0,0,0,0
6,lao,708.9110672643005,6,6,6,6,6,0,7,0.0019852000004902948,0,0,7,27,0
7,full_dp,1322.4514196191788,9,19,32,32,32,5,20,0.006636000001890352,0,0,0,0,0
7,dijkstra,1322.4514196191785,9,20,32,32,32,11,20,0.007994899999175686,0,0,0,0,0
7,astar,1322.4514196191785,9,20,32,32,32,8,20,0.007676599998376332,0,0,0,0,0
7,lao,1322.4514196191788,9,19,32,32,32,0,20,0.008631600001535844,0,0,20,209,32
12,full_dp,1789.5451791885284,12,22,35,35,35,5,23,0.008437600001343526,0,0,0,0,0
12,dijkstra,1789.5451791885284,12,23,35,35,35,11,23,0.008373200002097292,0,0,0,0,0
12,astar,1789.5451791885284,12,23,35,35,35,8,23,0.008638199997221818,0,0,0,0,0
12,lao,1789.5451791885284,12,22,35,35,35,0,23,0.009914400001434842,0,0,23,275,32
18,full_dp,2499.402241030157,16,27,41,41,41,5,28,0.009872900001937523,0,0,0,0,0
18,dijkstra,2499.402241030157,16,28,41,41,41,11,28,0.010451599999214523,0,0,0,0,0
18,astar,2499.402241030157,16,28,41,41,41,8,28,0.009773000001587206,0,0,0,0,0
18,lao,2499.402241030157,16,27,41,41,41,0,28,0.011779700002080062,0,0,28,405,34
29,full_dp,536.5474715636964,4,4,4,4,4,1,5,0.0015053999995870981,0,0,0,0,0
29,dijkstra,536.5474715636964,4,5,4,4,4,1,5,0.0012276999987079762,0,0,0,0,0
29,astar,536.5474715636964,4,5,4,4,4,1,5,0.001189499998872634,0,0,0,0,0
29,lao,536.5474715636964,4,4,4,4,4,0,5,0.0017569999981787987,0,0,5,14,0
36,full_dp,2710.7489993360227,17,28,42,42,42,5,29,0.009412399998836918,0,0,0,0,0
36,dijkstra,2710.7489993360223,17,29,42,42,42,11,29,0.01059470000109286,0,0,0,0,0
36,astar,2710.7489993360223,17,29,42,42,42,8,29,0.010904399998253211,0,0,0,0,0
36,lao,2710.7489993360227,17,28,42,42,42,0,29,0.012389200001052814,0,0,29,434,34
39,full_dp,2412.3449305605654,16,46,92,92,92,10,47,0.021653299998433795,0,0,0,0,0
39,dijkstra,2412.344930560566,16,47,92,92,92,23,47,0.023039499999867985,0,0,0,0,0
39,astar,2412.344930560566,16,47,92,92,92,16,47,0.024069900002359645,2,0,0,0,0
39,lao,2412.3449305605654,16,46,92,92,92,0,47,0.025797199999942677,0,0,47,1127,169
42,full_dp,2373.8902194904344,15,34,58,58,58,7,35,0.01240229999893927,0,0,0,0,0
42,dijkstra,2373.8902194904344,15,35,58,58,58,12,35,0.013939099997514859,0,0,0,0,0
42,astar,2373.8902194904344,15,35,58,58,58,8,35,0.014029300000402145,0,0,0,0,0
42,lao,2373.8902194904344,15,34,58,58,58,0,35,0.016311399998812703,0,0,35,629,70
46,full_dp,1194.9513235411628,7,8,9,9,9,2,9,0.0020341999988886528,0,0,0,0,0
46,dijkstra,1194.9513235411628,7,9,9,9,9,2,9,0.002304100002220366,0,0,0,0,0
46,astar,1194.9513235411628,7,9,9,9,9,2,9,0.0024052999979176093,0,0,0,0,0
46,lao,1194.9513235411628,7,8,9,9,9,0,9,0.0028429000012692995,0,0,9,44,2
52,full_dp,2347.887157111571,15,25,38,38,38,5,26,0.010456699998030672,0,0,0,0,0
52,dijkstra,2347.887157111571,15,26,38,38,38,11,26,0.009751100002176827,0,0,0,0,0
52,astar,2347.887157111571,15,26,38,38,38,8,26,0.00924269999813987,0,0,0,0,0
52,lao,2347.887157111571,15,25,38,38,38,0,26,0.01050030000260449,0,0,26,350,32
