target_node,solver,optimal_cost,sequence_length,expanded_states,generated_states,oracle_calls,edge_cost_evaluations,peak_open_size,stored_states,wall_seconds,decrease_key_updates,reopens,revision_passes,state_backups,marked_action_changes
6,full_dp,708.9110672643005,6,6,6,6,6,1,7,0.0016043000032368582,0,0,0,0,0
6,dijkstra,708.9110672643005,6,7,6,6,6,1,7,0.0015994000023056287,0,0,0,0,0
6,astar,708.9110672643005,6,7,6,6,6,1,7,0.0016975999969872646,0,0,0,0,0
6,lao,708.9110672643005,6,6,6,6,6,0,7,0.0018118000007234514,0,0,7,27,0
7,full_dp,1322.4514196191788,9,19,32,32,32,5,20,0.00713739999991958,0,0,0,0,0
7,dijkstra,1322.4514196191785,9,20,32,32,32,11,20,0.007506699999794364,0,0,0,0,0
7,astar,1322.4514196191785,9,20,32,32,32,8,20,0.0054715000005671754,0,0,0,0,0
7,lao,1322.4514196191788,9,19,32,32,32,0,20,0.006872600002679974,0,0,20,209,32
12,full_dp,1789.5451791885284,12,22,35,35,35,5,23,0.007551800001238007,0,0,0,0,0
12,dijkstra,1789.5451791885284,12,23,35,35,35,11,23,0.008287900000141235,0,0,0,0,0
12,astar,1789.5451791885284,12,23,35,35,35,8,23,0.008297899999888614,0,0,0,0,0
12,lao,1789.5451791885284,12,22,35,35,35,0,23,0.009320999997726176,0,0,23,275,32
18,full_dp,2499.402241030157,16,27,41,41,41,5,28,0.009954700002708705,0,0,0,0,0
18,dijkstra,2499.402241030157,16,28,41,41,41,11,28,0.00972399999955087,0,0,0,0,0
18,astar,2499.402241030157,16,28,41,41,41,8,28,0.010339200001908466,0,0,0,0,0
18,lao,2499.402241030157,16,27,41,41,41,0,28,0.011078300001827301,0,0,28,405,34
29,full_dp,536.5474715636964,4,4,4,4,4,1,5,0.0010425000000395812,0,0,0,0,0
29,dijkstra,536.5474715636964,4,5,4,4,4,1,5,0.0011187000018253457,0,0,0,0,0
29,astar,536.5474715636964,4,5,4,4,4,1,5,0.0009188000003632624,0,0,0,0,0
29,lao,536.5474715636964,4,4,4,4,4,0,5,0.0012790999971912242,0,0,5,14,0
36,full_dp,2710.7489993360227,17,28,42,42,42,5,29,0.00993449999805307,0,0,0,0,0
36,dijkstra,2710.7489993360223,17,29,42,42,42,11,29,0.010789500000100816,0,0,0,0,0
36,astar,2710.7489993360223,17,29,42,42,42,8,29,0.010921199998847442,0,0,0,0,0
36,lao,2710.7489993360227,17,28,42,42,42,0,29,0.012080000000423752,0,0,29,434,34
39,full_dp,2412.3449305605654,16,46,92,92,92,10,47,0.021662800001649885,0,0,0,0,0
39,dijkstra,2412.344930560566,16,47,92,92,92,23,47,0.023116799999115756,0,0,0,0,0
39,astar,2412.344930560566,16,47,92,92,92,16,47,0.021410900000773836,2,0,0,0,0
39,lao,2412.3449305605654,16,46,92,92,92,0,47,0.028110100000048988,0,0,47,1127,167
42,full_dp,2373.8902194904344,15,34,58,58,58,7,35,0.012294500000280095,0,0,0,0,0
42,dijkstra,2373.8902194904344,15,35,58,58,58,12,35,0.012827400001697242,0,0,0,0,0
42,astar,2373.8902194904344,15,35,58,58,58,8,35,0.01380540000172914,0,0,0,0,0
42,lao,2373.8902194904344,15,34,58,58,58,0,35,0.016170999999303604,0,0,35,629,70
46,full_dp,1194.9513235411628,7,8,9,9,9,2,9,0.002271200002724072,0,0,0,0,0
46,dijkstra,1194.9513235411628,7,9,9,9,9,2,9,0.0022970000027271453,0,0,0,0,0
46,astar,1194.9513235411628,7,9,9,9,9,2,9,0.0022586000013689045,0,0,0,0,0
46,lao,1194.9513235411628,7,8,9,9,9,0,9,0.0025762999975995626,0,0,9,44,2
52,full_dp,2347.887157111571,15,25,38,38,38,5,26,0.008720499998162268,0,0,0,0,0
52,dijkstra,2347.887157111571,15,26,38,38,38,11,26,0.00927869999941322,0,0,0,0,0
52,astar,2347.887157111571,15,26,38,38,38,8,26,0.006540599999425467,0,0,0,0,0
52,lao,2347.887157111571,15,25,38,38,38,0,26,0.007655400000658119,0,0,26,350,32
