trap_width,solver,optimal_cost,expanded_states,greedy_cost,greedy_regret
3,full_dp,544.7304491454281,9,698.7082135325596,0.28266781236241056
3,dijkstra,544.7304491454281,10,698.7082135325596,0.28266781236241056
3,astar,544.7304491454281,6,698.7082135325596,0.28266781236241056
3,lao,544.7304491454281,5,698.7082135325596,0.28266781236241056
3,greedy,698.7082135325596,5,698.7082135325596,0.28266781236241056
5,full_dp,699.5190810435367,33,974.6200448823272,0.3932715651278549
5,dijkstra,699.5190810435367,34,974.6200448823272,0.3932715651278549
5,astar,699.5190810435367,8,974.6200448823272,0.3932715651278549
5,lao,699.5190810435367,7,974.6200448823272,0.3932715651278549
5,greedy,974.6200448823272,7,974.6200448823272,0.3932715651278549
7,full_dp,846.8847881429776,129,1217.2646352919642,0.4373438422021298
7,dijkstra,846.8847881429775,130,1217.2646352919642,0.4373438422021298
7,astar,846.8847881429775,10,1217.2646352919642,0.4373438422021298
7,lao,846.8847881429776,9,1217.2646352919642,0.4373438422021298
7,greedy,1217.2646352919642,9,1217.2646352919642,0.4373438422021298
10,full_dp,1057.3855329385426,1025,1533.9594898794187,0.4507097384020815
10,dijkstra,1057.3855329385426,1026,1533.9594898794187,0.4507097384020815
10,astar,1057.3855329385426,13,1533.9594898794187,0.4507097384020815
10,lao,1057.3855329385426,12,1533.9594898794187,0.4507097384020815
10,greedy,1533.9594898794187,12,1533.9594898794187,0.4507097384020815
15,full_dp,1389.1433150779972,32769,1976.2879949919893,0.42266674254630476
15,dijkstra,1389.143315077997,32770,1976.2879949919893,0.42266674254630476
15,astar,1389.143315077997,18,1976.2879949919893,0.42266674254630476
15,lao,1389.1433150779972,17,1976.2879949919893,0.42266674254630476
15,greedy,1976.2879949919893,17,1976.2879949919893,0.42266674254630476
