n,width,beta,seed,solver,p_bar_mode,optimal_cost,expanded_states,generated_states,oracle_calls,stored_states,wall_seconds,timeout
10,2,0.0,42,full_dp,tight,1107.162561496514,17,24,24,18,0.00019360000078449957,False
10,2,0.0,42,dijkstra,tight,1107.1625614965142,18,24,24,18,0.00016999999934341758,False
10,2,0.0,42,lao,tight,1107.162561496514,13,20,20,18,0.00044630000047618523,False
10,2,0.0,42,astar,loose,1107.1625614965142,18,24,24,18,0.00019239999892306514,False
10,2,0.0,42,astar,tight,1107.1625614965142,11,16,16,17,0.00012589999823831022,False
10,2,0.0,43,full_dp,tight,1186.3584425006886,22,34,34,23,0.00020389999917824753,False
10,2,0.0,43,dijkstra,tight,1186.3584425006886,23,34,34,23,0.0002328000009583775,False
10,2,0.0,43,lao,tight,1186.3584425006886,14,25,25,22,0.000492299997858936,False
10,2,0.0,43,astar,loose,1186.3584425006889,23,34,34,23,0.00024090000079013407,False
10,2,0.0,43,astar,tight,1186.3584425006886,11,17,17,18,0.00013920000128564425,False
10,2,0.0,44,full_dp,tight,1339.0430385618295,25,40,40,26,0.00022109999918029644,False
10,2,0.0,44,dijkstra,tight,1339.0430385618295,26,40,40,26,0.00024950000079115853,False
10,2,0.0,44,lao,tight,1339.0430385618295,11,18,18,18,0.0003859999997075647,False
10,2,0.0,44,astar,loose,1339.0430385618295,26,40,40,26,0.0002767000005405862,False
10,2,0.0,44,astar,tight,1339.0430385618295,11,15,15,16,0.00011620000077527948,False
10,2,0.5,42,full_dp,tight,879.5869842506035,17,24,24,18,0.00017410000145900995,False
10,2,0.5,42,dijkstra,tight,879.5869842506033,18,24,24,18,0.00016110000069602393,False
10,2,0.5,42,lao,tight,879.5869842506035,12,19,19,18,0.0004078999991179444,False
10,2,0.5,42,astar,loose,879.5869842506033,18,24,24,18,0.00017419999858248048,False
10,2,0.5,42,astar,tight,879.5869842506033,11,16,16,17,0.00012369999967631884,False
10,2,0.5,43,full_dp,tight,948.937564899316,22,34,34,23,0.00021010000273236074,False
10,2,0.5,43,dijkstra,tight,948.9375648993159,23,34,34,23,0.0002480000002833549,False
10,2,0.5,43,lao,tight,948.9375648993162,12,21,21,20,0.00042050000047311187,False
10,2,0.5,43,astar,loose,948.937564899316,23,34,34,23,0.00024230000053648837,False
10,2,0.5,43,astar,tight,948.9375648993159,11,19,19,20,0.00015039999925647862,False
10,2,0.5,44,full_dp,tight,1040.7299760142184,25,40,40,26,0.0002473999993526377,False
10,2,0.5,44,dijkstra,tight,1040.7299760142184,26,40,40,26,0.00025239999740733765,False
10,2,0.5,44,lao,tight,1040.7299760142184,10,15,15,16,0.0003318999988550786,False
10,2,0.5,44,astar,loose,1040.7299760142187,26,40,40,26,0.000276400001894217,False
10,2,0.5,44,astar,tight,1040.7299760142187,11,16,16,17,0.00012559999959194101,False
10,2,1.0,42,full_dp,tight,786.9018044363971,17,24,24,18,0.00015419999908772297,False
10,2,1.0,42,dijkstra,tight,786.901804436397,18,24,24,18,0.0001658000001043547,False
10,2,1.0,42,lao,tight,786.9018044363971,11,16,16,16,0.0003630999999586493,False
10,2,1.0,42,astar,loose,786.901804436397,18,24,24,18,0.0001765000015439,False
10,2,1.0,42,astar,tight,786.901804436397,11,16,16,17,0.00012380000043776818,False
10,2,1.0,43,full_dp,tight,845.7987817374254,22,34,34,23,0.00019899999824701808,False
10,2,1.0,43,dijkstra,tight,845.7987817374255,23,34,34,23,0.00023130000045057386,False
10,2,1.0,43,lao,tight,845.7987817374254,10,17,17,18,0.0003494000011414755,False
10,2,1.0,43,astar,loose,845.7987817374257,23,34,34,23,0.0002362000013818033,False
10,2,1.0,43,astar,tight,845.7987817374257,22,33,33,23,0.00022140000146464445,False
10,2,1.0,44,full_dp,tight,893.9958952290559,25,40,40,26,0.00023039999723550864,False
10,2,1.0,44,dijkstra,tight,893.9958952290558,26,40,40,26,0.00025240000104531646,False
10,2,1.0,44,lao,tight,893.9958952290559,10,17,17,18,0.00035660000139614567,False
10,2,1.0,44,astar,loose,893.9958952290559,26,40,40,26,0.0002679999997781124,False
10,2,1.0,44,astar,tight,893.9958952290558,12,19,19,19,0.0001407999989169184,False
10,2,2.0,42,full_dp,tight,729.5255439370569,17,24,24,18,0.00015269999857991934,False
10,2,2.0,42,dijkstra,tight,729.5255439370568,18,24,24,18,0.00016139999934239313,False
10,2,2.0,42,lao,tight,729.5255439370569,12,18,18,17,0.00041280000004917383,False
10,2,2.0,42,astar,loose,729.5255439370568,18,24,24,18,0.00017529999968246557,False
10,2,2.0,42,astar,tight,729.5255439370568,11,16,16,17,0.00012399999832268804,False
10,2,2.0,43,full_dp,tight,774.9808546520026,22,34,34,23,0.0002080000012938399,False
10,2,2.0,43,dijkstra,tight,774.9808546520026,23,34,34,23,0.0002206999997724779,False
10,2,2.0,43,lao,tight,774.9808546520026,12,22,22,21,0.00043310000182827935,False
10,2,2.0,43,astar,loose,774.9808546520027,23,34,34,23,0.00023409999994328246,False
10,2,2.0,43,astar,tight,774.9808546520027,21,32,32,23,0.00021349999951780774,False
10,2,2.0,44,full_dp,tight,775.8591273620436,25,40,40,26,0.0002257999985886272,False
10,2,2.0,44,dijkstra,tight,775.8591273620435,26,40,40,26,0.0002516000022296794,False
10,2,2.0,44,lao,tight,775.8591273620436,10,17,17,18,0.00035569999818108045,False
10,2,2.0,44,astar,loose,775.8591273620436,26,40,40,26,0.00026869999783230014,False
