target_node,n,n_sequence,edges,edges_transitive_reduction,density,width,depth,chain_ratio,reachable_ideals,theoretical_max,am_gm_bound,compression_ratio_exp,compression_ratio_amgm,max_in_degree,max_out_degree,bottleneck_nodes,parallel_pairs
6,6,6,7,5,0.4666666666666667,1,6,1.0,7,64,7.0,0.109375,1.0,2,3,[],0
7,9,9,12,10,0.3333333333333333,3,7,0.7777777777777778,20,512,64.0,0.0390625,0.3125,3,5,[7],7
12,12,12,21,13,0.3181818181818182,3,10,0.8333333333333334,23,4096,125.0,0.005615234375,0.184,3,5,"[7,8,10,12]",7
18,16,16,27,18,0.225,3,13,0.8125,28,65536,254.037037037037,0.00042724609375,0.11022014870972446,3,5,"[7,8,10,12,17]",8
29,4,4,3,3,0.5,1,4,1.0,5,16,5.0,0.3125,1.0,1,1,[],0
36,17,17,29,19,0.21323529411764705,3,14,0.8235294117647058,29,131072,296.29629629629636,0.00022125244140625,0.09787499999999998,3,5,"[7,8,10,12,17]",8
39,16,16,26,18,0.21666666666666667,4,13,0.8125,47,65536,625.0,0.0007171630859375,0.0752,3,6,"[7,8,10,12]",17
42,15,15,28,18,0.26666666666666666,3,12,0.8,35,32768,216.0,0.001068115234375,0.16203703703703703,3,5,"[7,8,10,12,42]",14
46,7,7,7,7,0.3333333333333333,2,6,0.8571428571428571,9,128,20.25,0.0703125,0.4444444444444444,2,2,[],1
52,15,15,28,16,0.26666666666666666,3,13,0.8666666666666667,26,32768,216.0,0.00079345703125,0.12037037037037036,3,6,"[7,8,10,12,51,52]",7
